day,state,death_rates
2020-1-25,GA,0
2020-1-26,GA,0
2020-1-27,GA,0
2020-1-28,GA,0
2020-1-29,GA,0
2020-1-30,GA,0
2020-1-31,GA,0
2020-2-1,GA,0
2020-2-2,GA,0
2020-2-3,GA,0
2020-2-4,GA,0
2020-2-5,GA,0
2020-2-6,GA,0
2020-2-7,GA,0
2020-2-8,GA,0
2020-2-9,GA,0
2020-2-10,GA,0
2020-2-11,GA,0
2020-2-12,GA,0
2020-2-13,GA,0
2020-2-14,GA,0
2020-2-15,GA,0
2020-2-16,GA,0
2020-2-17,GA,0
2020-2-18,GA,0
2020-2-19,GA,0
2020-2-20,GA,0
2020-2-21,GA,0
2020-2-22,GA,0
2020-2-23,GA,0
2020-2-24,GA,0
2020-2-25,GA,0
2020-2-26,GA,0
2020-2-27,GA,0
2020-2-28,GA,0
2020-2-29,GA,0
2020-3-1,GA,0
2020-3-2,GA,0.0
2020-3-3,GA,0.0
2020-3-4,GA,0.0
2020-3-5,GA,0.0
2020-3-6,GA,0.0
2020-3-7,GA,0.0
2020-3-8,GA,0.0
2020-3-9,GA,0.0
2020-3-10,GA,0.0
2020-3-11,GA,0.0
2020-3-12,GA,0.03225806451612903
2020-3-13,GA,0.024390243902439025
2020-3-14,GA,0.015384615384615385
2020-3-15,GA,0.010309278350515464
2020-3-16,GA,0.00847457627118644
2020-3-17,GA,0.007042253521126761
2020-3-18,GA,0.015544041450777202
2020-3-19,GA,0.03546099290780142
2020-3-20,GA,0.029045643153526972
2020-3-21,GA,0.036231884057971016
2020-3-22,GA,0.04032258064516129
2020-3-23,GA,0.03125
2020-3-24,GA,0.034703196347031964
2020-3-25,GA,0.03393501805054152
2020-3-26,GA,0.03412553321145643
2020-3-27,GA,0.029117379435850774
2020-3-28,GA,0.03228442991418063
2020-3-29,GA,0.030935519940365263
2020-3-30,GA,0.033641160949868076
2020-3-31,GA,0.030369290573372208
2020-4-1,GA,0.03244154202654308
2020-4-2,GA,0.03232916972814107
2020-4-3,GA,0.033182503770739065
2020-4-4,GA,0.032586558044806514
2020-4-5,GA,0.032482942746959356
2020-4-6,GA,0.03889917967716327
2020-4-7,GA,0.03800786369593709
2020-4-8,GA,0.03626029008232066
2020-4-9,GA,0.03785025264124942
2020-4-10,GA,0.03583776035078843
2020-4-11,GA,0.035233667726939075
2020-4-12,GA,0.0361893745352392
2020-4-13,GA,0.036495238095238094
2020-4-14,GA,0.03715949112340976
2020-4-15,GA,0.03901803469793595
2020-4-16,GA,0.03905650728713884
2020-4-17,GA,0.03968063392964342
2020-4-18,GA,0.03937933466556953
2020-4-19,GA,0.03870821272489926
2020-4-20,GA,0.041578576462297394
2020-4-21,GA,0.042211683777164
2020-4-22,GA,0.04164386287875019
2020-4-23,GA,0.041664673523080606
2020-4-24,GA,0.041205098493626885
2020-4-25,GA,0.040359955005624296
2020-4-26,GA,0.04038470101073066
2020-4-27,GA,0.042231693142192946
2020-4-28,GA,0.04329224382598382
2020-4-29,GA,0.04469135802469136
2020-4-30,GA,0.04408005976957257
2020-5-1,GA,0.0436147677409593
2020-5-2,GA,0.04257738007921373
2020-5-3,GA,0.04229125932362952
2020-5-4,GA,0.04331569664902998
2020-5-5,GA,0.044223576672669344
2020-5-6,GA,0.044038487417575024
2020-5-7,GA,0.04367055431791377
2020-5-8,GA,0.04432435909807327
2020-5-9,GA,0.04383596455004606
