day,state,num_deaths
2020-1-25,MS,0
2020-1-26,MS,0
2020-1-27,MS,0
2020-1-28,MS,0
2020-1-29,MS,0
2020-1-30,MS,0
2020-1-31,MS,0
2020-2-1,MS,0
2020-2-2,MS,0
2020-2-3,MS,0
2020-2-4,MS,0
2020-2-5,MS,0
2020-2-6,MS,0
2020-2-7,MS,0
2020-2-8,MS,0
2020-2-9,MS,0
2020-2-10,MS,0
2020-2-11,MS,0
2020-2-12,MS,0
2020-2-13,MS,0
2020-2-14,MS,0
2020-2-15,MS,0
2020-2-16,MS,0
2020-2-17,MS,0
2020-2-18,MS,0
2020-2-19,MS,0
2020-2-20,MS,0
2020-2-21,MS,0
2020-2-22,MS,0
2020-2-23,MS,0
2020-2-24,MS,0
2020-2-25,MS,0
2020-2-26,MS,0
2020-2-27,MS,0
2020-2-28,MS,0
2020-2-29,MS,0
2020-3-1,MS,0
2020-3-2,MS,0
2020-3-3,MS,0
2020-3-4,MS,0
2020-3-5,MS,0
2020-3-6,MS,0
2020-3-7,MS,0
2020-3-8,MS,0
2020-3-9,MS,0
2020-3-10,MS,0
2020-3-11,MS,0
2020-3-12,MS,0
2020-3-13,MS,0
2020-3-14,MS,0
2020-3-15,MS,0
2020-3-16,MS,0
2020-3-17,MS,0
2020-3-18,MS,0
2020-3-19,MS,1
2020-3-20,MS,1
2020-3-21,MS,1
2020-3-22,MS,1
2020-3-23,MS,1
2020-3-24,MS,1
2020-3-25,MS,5
2020-3-26,MS,6
2020-3-27,MS,8
2020-3-28,MS,13
2020-3-29,MS,14
2020-3-30,MS,16
2020-3-31,MS,20
2020-4-1,MS,22
2020-4-2,MS,26
2020-4-3,MS,29
2020-4-4,MS,35
2020-4-5,MS,43
2020-4-6,MS,51
2020-4-7,MS,59
2020-4-8,MS,67
2020-4-9,MS,76
2020-4-10,MS,82
2020-4-11,MS,93
2020-4-12,MS,96
2020-4-13,MS,98
2020-4-14,MS,111
2020-4-15,MS,122
2020-4-16,MS,129
2020-4-17,MS,140
2020-4-18,MS,152
2020-4-19,MS,159
2020-4-20,MS,169
2020-4-21,MS,183
2020-4-22,MS,193
2020-4-23,MS,201
2020-4-24,MS,209
2020-4-25,MS,221
2020-4-26,MS,227
2020-4-27,MS,229
2020-4-28,MS,239
