Age,Total(AL),Male(AL),Female(AL),Total(AK),Male(AK),Female(AK),Total(AZ),Male(AZ),Female(AZ),Total(AR),Male(AR),Female(AR),Total(CA),Male(CA),Female(CA),Total(CO),Male(CO),Female(CO),Total(CT),Male(CT),Female(CT),Total(DE),Male(DE),Female(DE),Total(DC),Male(DC),Female(DC),Total(FL),Male(FL),Female(FL),Total(GA),Male(GA),Female(GA),Total(HI),Male(HI),Female(HI),Total(ID),Male(ID),Female(ID),Total(IL),Male(IL),Female(IL),Total(IN),Male(IN),Female(IN),Total(IA),Male(IA),Female(IA),Total(KS),Male(KS),Female(KS),Total(KY),Male(KY),Female(KY),Total(LA),Male(LA),Female(LA),Total(ME),Male(ME),Female(ME),Total(MD),Male(MD),Female(MD),Total(MA),Male(MA),Female(MA),Total(MI),Male(MI),Female(MI),Total(MN),Male(MN),Female(MN),Total(MS),Male(MS),Female(MS),Total(MO),Male(MO),Female(MO),Total(MT),Male(MT),Female(MT),Total(NE),Male(NE),Female(NE),Total(NV),Male(NV),Female(NV),Total(NH),Male(NH),Female(NH),Total(NJ),Male(NJ),Female(NJ),Total(NM),Male(NM),Female(NM),Total(NY),Male(NY),Female(NY),Total(NC),Male(NC),Female(NC),Total(ND),Male(ND),Female(ND),Total(OH),Male(OH),Female(OH),Total(OK),Male(OK),Female(OK),Total(OR),Male(OR),Female(OR),Total(PA),Male(PA),Female(PA),Total(RI),Male(RI),Female(RI),Total(SC),Male(SC),Female(SC),Total(SD),Male(SD),Female(SD),Total(TN),Male(TN),Female(TN),Total(TX),Male(TX),Female(TX),Total(UT),Male(UT),Female(UT),Total(VT),Male(VT),Female(VT),Total(VA),Male(VA),Female(VA),Total(WA),Male(WA),Female(WA),Total(WV),Male(WV),Female(WV),Total(WI),Male(WI),Female(WI),Total(WY),Male(WY),Female(WY)
Under 5 years,294357,149715,144642,51080,26153,24927,429788,219514,210274,188464,96655,91809,2383716,1220085,1163631,332201,169135,163066,181710,93028,88682,54719,27536,27183,45368,23092,22276,1139742,582738,557004,656566,334896,321670,85219,43782,41437,116200,59300,56900,746934,381715,365219,418340,214657,203683,195636,100071,95565,185331,94754,90577,272610,139914,132696,301469,153377,148092,63537,32603,30934,361937,184485,177452,357362,182950,174412,566442,289273,277169,351622,179999,171623,183478,93187,90291,368080,188582,179498,61156,31274,29882,130880,67324,63556,185575,94941,90634,63621,32466,31155,514690,263049,251641,120986,61690,59296,1127001,576910,550091,609770,311847,297923,54101,27791,26310,690828,353225,337603,255533,131159,124374,227811,116781,111030,697924,357089,340835,54521,27866,26655,292464,149429,143035,61167,31383,29784,408605,208823,199782,1990891,1015624,975267,247803,127060,120743,29043,14917,14126,505477,258463,247014,456476,234488,221988,93025,47607,45418,330496,168701,161795,34931,18104,16827
5 to 9 years,297968,152011,145957,51596,26401,25195,453692,231321,222371,192747,98863,93884,2478850,1266874,1211976,346783,177399,169384,194738,99449,95289,56312,28682,27630,38177,19507,18670,1166350,596090,570260,685587,348924,336663,86710,44660,42050,123317,62782,60535,769727,393876,375851,431942,221228,210714,200156,102321,97835,196363,100324,96039,276417,142260,134157,301217,153565,147652,67424,34499,32925,370555,189219,181336,368450,188026,180424,586325,300782,285543,362846,185594,177252,189377,96334,93043,378425,193865,184560,63876,32825,31051,132357,67776,64581,193050,98856,94194,68738,35327,33411,532258,271985,260273,132779,67810,64969,1117891,571442,546449,628866,320135,308731,51031,26024,25007,708467,363048,345419,267907,137058,130849,242452,124090,118362,726053,371201,354852,54899,28153,26746,306776,155950,150826,60934,31280,29654,413379,211447,201932,2063578,1052719,1010859,258976,132868,126108,31098,16127,14971,514886,263899,250987,468777,239664,229113,100280,51363,48917,347240,177736,169504,37296,19123,18173
10 to 14 years,310498,158134,152364,49066,25403,23663,477053,243003,234050,200466,102418,98048,2529137,1292852,1236285,363539,186072,177467,214262,108848,105414,57663,29049,28614,29221,14614,14607,1206047,614949,591098,727416,370338,357078,80876,41389,39487,131471,67341,64130,806018,410485,395533,447039,228329,218710,208339,106578,101761,199903,102351,97552,284000,144815,139185,306719,156208,150511,72676,37116,35560,377314,192425,184889,382585,195108,187477,610364,312168,298196,369747,188225,181522,206282,105273,101009,391115,199629,191486,65429,33709,31720,133939,68594,65345,199016,101445,97571,74711,38274,36437,551709,281112,270597,139489,70811,68678,1100705,563068,537637,665606,339338,326268,48464,24792,23672,731812,373151,358661,270141,137749,132392,249084,127423,121661,749587,383679,365908,57969,29713,28256,323940,164443,159497,60732,31137,29595,431302,219748,211554,2103124,1073413,1029711,267985,137940,130045,33058,16988,16070,525235,268469,256766,466994,239170,227824,103192,53155,50037,366791,187556,179235,39438,20264,19174
15 to 19 years,313615,159086,154529,45110,23594,21516,478065,244571,233494,197251,101079,96172,2533694,1292178,1241516,365448,188223,177225,238872,121596,117276,60218,30426,29792,36571,17400,19171,1202436,614664,587772,732120,371833,360287,77287,39985,37302,125185,63779,61406,822630,420425,402205,457749,234783,222966,212204,108821,103383,200494,103814,96680,285907,146601,139306,293860,149855,144005,77521,40085,37436,379915,193302,186613,449834,225386,224448,644559,328926,315633,361131,184300,176831,201350,102782,98568,389671,199768,189903,63955,33160,30795,132645,67730,64915,182631,94148,88483,83968,42523,41445,552830,283520,269310,138458,70557,67901,1175399,597739,577660,688195,350040,338155,47181,24397,22784,755766,386469,369297,264914,136227,128687,246133,126202,119931,803978,409186,394792,71154,35392,35762,324659,165857,158802,57734,29779,27955,424280,216471,207809,2052992,1048188,1004804,253847,129312,124535,41216,21202,20014,541828,274892,266936,448059,228733,219326,105976,54812,51164,377568,192751,184817,36507,19058,17449
20 to 24 years,322092,161393,160699,51283,29380,21903,495482,256544,238938,200287,101749,98538,2647279,1359751,1287528,377765,198011,179754,239931,123103,116828,57154,28976,28178,51397,22967,28430,1258122,642134,615988,717380,364423,352957,88650,48667,39983,116434,61044,55390,829977,421027,408950,472649,241840,230809,224211,115535,108676,212319,110821,101498,297891,153923,143968,303408,153923,149485,74616,38159,36457,371115,188643,182472,485290,241232,244058,681766,347852,333914,355929,179553,176376,201517,102207,99310,404798,206380,198418,71936,37975,33961,135551,69628,65923,182587,93617,88970,87906,45094,42812,540725,274492,266233,140001,72869,67132,1269847,634217,635630,698865,360724,338141,62216,32813,29403,751457,381765,369692,274648,143280,131368,264104,134351,129753,799230,406017,393213,75503,38009,37494,330743,170451,160292,58930,30575,28355,444925,225087,219838,2002525,1030183,972342,264652,135806,128846,45430,23324,22106,571619,296914,274705,481263,252269,228994,110880,57133,53747,390572,198773,191799,38083,20149,17934
25 to 29 years,338138,168634,169504,60427,32458,27969,525879,273506,252373,205499,103759,101740,3094978,1600681,1494297,461160,241879,219281,225457,116859,108598,65311,33022,32289,82514,38036,44478,1419816,724144,695672,771584,386644,384940,101864,53750,48114,121631,62849,58782,897230,454918,442312,464458,235643,228815,206055,106783,99272,196221,102368,93853,309470,158824,150646,335245,168291,166954,81044,41169,39875,412144,207520,204624,504506,255851,248655,697811,357937,339874,378787,195196,183591,206989,104027,102962,425414,215492,209922,71677,37234,34443,129709,67005,62704,229367,117045,112322,87395,45608,41787,579238,295532,283706,145634,75738,69896,1465003,733350,731653,733576,370403,363173,60286,32557,27729,801624,406295,395329,279982,143213,136769,304531,155577,148954,861372,440810,420562,75743,38976,36767,353271,175694,177577,57986,30615,27371,497286,249326,247960,2172297,1110855,1061442,251376,129179,122197,37956,19675,18281,601926,307429,294497,592596,309307,283289,111868,57654,54214,379644,195545,184099,38041,19708,18333
30 to 34 years,309091,151231,157860,57161,30047,27114,481214,249307,231907,191369,95549,95820,2957974,1525571,1432403,452194,236587,215607,222572,111988,110584,63769,31721,32048,82027,39281,42746,1379606,699679,679927,721677,354987,366690,98131,50374,47757,114859,57868,56991,860866,435387,425479,426229,213793,212436,192095,98161,93934,186701,95293,91408,277910,140426,137484,322982,160613,162369,81764,40893,40871,417105,206091,211014,489948,244210,245738,613803,310931,302872,383829,196114,187715,186758,91553,95205,400473,200403,200070,66709,34023,32686,125629,64641,60988,223749,114859,108890,85421,43876,41545,573040,290819,282221,138453,71278,67175,1402648,703593,699055,682493,335338,347155,54285,29471,24814,752754,378578,374176,263611,133305,130306,299753,152170,147583,847764,430526,417238,72470,36727,35743,329583,161167,168416,57078,29724,27354,452370,224241,228129,2104466,1069270,1035196,220430,111776,108654,36452,18373,18079,588455,296462,291993,579479,298918,280561,102136,52488,49648,361578,184962,176616,38392,19967,18425
35 to 39 years,304145,147221,156924,52421,27318,25103,466981,238274,228707,192156,95917,96239,2780574,1416586,1363988,425517,219924,205593,219855,108595,111260,59374,29316,30058,63808,31056,32752,1336741,666425,670316,709018,342876,366142,96871,49150,47721,118233,59717,58516,849955,425765,424190,427265,213220,214045,202273,103019,99254,191430,96694,94736,280548,139424,141124,315125,154978,160147,79165,39161,40004,410528,200302,210226,444801,220184,224617,599328,299321,300007,388815,197051,191764,189068,92312,96756,397045,197567,199478,68697,35313,33384,130004,66368,63636,215201,108985,106216,81390,41060,40330,580139,289219,290920,135544,68808,66736,1271005,629991,641014,662260,323077,339183,50829,27059,23770,724341,359820,364521,264742,133163,131579,297541,149711,147830,791515,397078,394437,66258,33402,32856,319990,155506,164484,56899,29598,27301,435528,214785,220743,2064852,1040150,1024702,231242,117335,113907,37019,18347,18672,581713,290900,290813,550110,281129,268981,106413,53625,52788,373501,188602,184899,39748,20537,19211
40 to 44 years,289161,139359,149802,43344,22647,20697,429046,215707,213339,178107,88297,89810,2501526,1255993,1245533,372554,190873,181681,207286,101260,106026,53727,26045,27682,45161,22366,22795,1263790,624191,639599,671936,322933,349003,84932,42941,41991,108939,55203,53736,787180,393065,394115,401694,200311,201383,182942,93178,89764,169599,85883,83716,270405,134910,135495,274729,135240,139489,74910,36825,38085,371685,181202,190483,403572,197481,206091,566844,280672,286172,336762,171383,165379,176686,85188,91498,356694,177450,179244,61098,31176,29922,113135,57510,55625,195304,98669,96635,75110,37301,37809,557554,275853,281701,119302,59670,59632,1158956,569181,589775,641167,311218,329949,41747,22094,19653,673467,334335,339132,233131,117025,116106,271171,137377,133794,722224,359573,362651,59077,29153,29924,300514,145904,154610,48965,25212,23753,412130,202748,209382,1877587,938778,938809,212211,108090,104121,34248,16868,17380,530783,262954,267829,478031,241925,236106,107389,53876,53513,339574,172101,167473,34537,17945,16592
45 to 49 years,308951,149462,159489,42303,22090,20213,433343,215623,217720,182264,89510,92754,2515419,1252341,1263078,365235,187290,177945,225494,109195,116299,56685,27246,29439,38462,19288,19174,1340417,658894,681523,712696,344386,368310,84135,42385,41750,102792,52115,50677,799928,395740,404188,413889,206469,207420,178216,90013,88203,164064,82270,81794,280688,139548,141140,269497,131754,137743,83308,40928,42380,385774,185831,199943,429056,207842,221214,612531,301893,310638,328843,166120,162723,181833,87453,94380,363465,179500,183965,58389,29688,28701,108702,55178,53524,200161,100751,99410,86223,42702,43521,584884,287131,297753,117382,57959,59423,1196751,583079,613672,688599,335379,353220,38692,20114,18578,713719,353088,360631,230394,115013,115381,261878,132235,129643,773596,383629,389967,63926,31034,32892,318195,153847,164348,46641,23816,22825,437995,214901,223094,1853407,919257,934150,176934,89984,86950,37335,18561,18774,547506,270344,277162,467553,235701,231852,114165,57389,56776,342984,172582,170402,32452,16807,15645
