geoName,covid
Alabama,64
Alaska,100
Arizona,57
Arkansas,62
California,50
Colorado,81
Connecticut,50
Delaware,46
District of Columbia,52
Florida,46
Georgia,49
Hawaii,60
Idaho,74
Illinois,61
Indiana,58
Iowa,75
Kansas,56
Kentucky,53
Louisiana,51
Maine,70
Maryland,48
Massachusetts,57
Michigan,68
Minnesota,80
Mississippi,45
Missouri,60
Montana,96
Nebraska,68
Nevada,45
New Hampshire,68
New Jersey,50
New Mexico,65
New York,47
North Carolina,51
North Dakota,69
Ohio,51
Oklahoma,70
Oregon,70
Pennsylvania,56
Rhode Island,49
South Carolina,43
South Dakota,99
Tennessee,56
Texas,51
Utah,60
Vermont,84
Virginia,53
Washington,69
West Virginia,63
Wisconsin,70
Wyoming,88
