geoName,2020-3-20,2020-3-21,2020-3-22,2020-3-23,2020-3-24,2020-3-25,2020-3-26,2020-3-27,2020-3-28,2020-3-29,2020-3-30,2020-3-31,2020-4-1,2020-4-2,2020-4-3,2020-4-4,2020-4-5,2020-4-6,2020-4-7,2020-4-8,2020-4-9,2020-4-10,2020-4-11,2020-4-12,2020-4-13,2020-4-14,2020-4-15,2020-4-16,2020-4-17,2020-4-18,2020-4-19,2020-4-20,2020-4-21,2020-4-22,2020-4-23,2020-4-24,2020-4-25,2020-4-26,2020-4-27,2020-4-28,2020-4-29,2020-4-30,2020-5-1,2020-5-2,2020-5-3,2020-5-4,2020-5-5,2020-5-6,2020-5-7,2020-5-8,2020-5-9,2020-5-10
Alabama,1,0,1,0,1,0,1,0,1,0,1,1,0,2,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,2,0,1,1
Alaska,2,2,0,0,3,0,3,3,0,0,3,0,0,0,3,4,4,0,0,0,3,4,4,0,0,3,3,0,0,0,0,0,3,0,0,4,4,4,0,0,0,7,3,0,0,0,0,0,0,0,0,0
Arizona,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
Arkansas,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,0,1,1,1,1,1,1,1,2,1,0,0,1,2,1,1,1,1,1,1,1,2,1,1,2,1
California,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Colorado,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
Connecticut,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Delaware,1,0,3,1,2,3,2,3,2,6,3,2,5,2,2,2,4,4,2,0,2,0,0,0,3,3,2,2,2,5,4,2,0,0,0,2,8,2,2,3,4,4,2,2,2,2,2,2,4,2,0,2
District of Columbia,3,1,2,4,3,5,3,4,3,5,10,4,4,4,7,6,5,7,2,5,5,4,8,6,4,5,7,5,7,6,14,7,3,5,8,5,6,4,6,6,8,4,9,6,6,3,4,6,6,5,8,4
Florida,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2
Georgia,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hawaii,1,1,1,0,2,1,0,1,2,2,1,1,1,1,1,2,0,3,0,2,2,2,4,2,2,0,0,0,0,2,2,1,2,0,3,2,2,3,2,2,2,2,0,0,0,0,1,3,2,0,2,0
Idaho,1,1,1,2,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,2,1,0,0,0,1,0,1,0,1,0,0,1,1,1,3,1,2,2,3,1,1,0,0,3,0,1,2,1,1,2,2,3
Illinois,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
Indiana,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Iowa,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,0,1,1,1,1,1,1,2,1,1,1,1,1,2,2
Kansas,0,1,0,1,1,1,1,1,1,2,1,1,2,0,1,1,1,1,1,1,2,1,0,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,3,0,1,1,1,0,1,0,2
Kentucky,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,0,1,1,1,1
Louisiana,0,0,1,1,1,0,0,0,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Maine,2,5,3,2,2,2,3,2,4,3,4,3,2,6,4,2,3,3,3,5,3,7,2,4,3,3,3,2,1,4,3,2,4,2,3,5,7,4,1,5,3,2,2,2,2,4,5,3,3,2,2,6
Maryland,1,1,0,1,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,2,1,2,1,2,2,2,2,1,2,3,1,1
Massachusetts,5,7,5,5,4,4,4,5,4,4,4,4,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,6,5,4,7,6,6,5,5,6,5,7,6,5,6,5,7,5,7,5,6,4,6,5,5,5
Michigan,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,2,1,2,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1
Minnesota,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,2,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0
Mississippi,1,1,1,1,1,0,1,1,0,0,0,1,1,0,3,1,1,1,0,0,0,1,0,2,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,2,1,0,2,1,0,0
Missouri,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
Montana,1,2,0,0,0,0,0,2,0,2,0,0,2,3,2,0,2,0,2,0,2,0,0,0,2,0,2,4,2,0,0,0,0,2,0,2,0,0,0,0,2,2,2,0,2,3,2,0,2,0,0,0
Nebraska,1,1,1,1,1,1,0,1,1,0,2,1,1,1,1,1,2,0,1,1,1,0,3,0,2,1,1,1,1,1,1,0,2,1,1,2,0,1,0,2,1,0,1,2,0,2,1,1,1,1,0,1
Nevada,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,6,1,1,1,1,2,1,3,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,2
New Hampshire,1,3,5,5,2,4,3,3,3,4,4,2,3,4,4,2,1,3,3,4,4,2,2,4,4,3,4,5,2,4,3,3,3,4,3,2,2,4,3,8,4,5,1,4,2,3,3,3,5,2,3,2
New Jersey,1,1,1,1,1,1,2,2,2,2,1,1,2,2,2,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
New Mexico,0,1,1,0,1,1,1,1,2,3,1,2,1,1,2,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,2,1,2,2,0,3,4,2,0,2,1,0,2,0,1,1,1,1,1,0,1
New York,2,2,2,2,3,2,2,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,4,3,4,3,3,3,3,3,4,3,3,3,4,3,4,4,3,4,3,4,3,4,4,4,3,3,3,4,4,4
North Carolina,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1
North Dakota,0,2,0,0,0,2,0,0,0,0,0,5,2,0,0,3,0,3,0,3,0,3,0,0,3,0,3,0,0,3,4,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,3,0,3,0,7,4
Ohio,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,2,1,2,1,1,1,1
Oklahoma,0,0,0,0,1,1,0,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Oregon,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,2,1,1,2,2,1,0,1,0,1,1,2,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1
Pennsylvania,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Rhode Island,11,12,9,11,6,6,4,5,8,9,8,3,9,7,8,5,5,4,6,4,7,10,5,6,5,6,7,6,7,8,5,4,5,9,8,6,4,4,3,8,6,4,4,7,7,11,6,9,6,9,7,6
South Carolina,1,1,0,1,1,1,1,1,1,2,1,1,1,2,1,2,1,2,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,2,1,1,1,1,1,1,1,2,1
South Dakota,2,0,0,2,0,0,6,0,5,0,0,5,2,2,2,3,0,2,0,3,5,0,0,0,3,3,0,0,0,3,0,0,0,0,3,0,0,4,3,0,0,0,0,4,0,0,0,3,6,0,0,4
Tennessee,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1
Texas,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0
Utah,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,0,1,2,1,1,1,1,1,1,1,0,0,1,1,1,1
Vermont,7,9,8,5,4,3,4,4,7,6,3,6,6,4,3,7,6,3,3,5,6,6,0,8,9,6,5,3,6,6,4,4,11,6,11,7,5,7,5,9,5,11,7,8,6,11,3,5,4,9,6,4
Virginia,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Washington,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1
West Virginia,1,1,0,0,0,0,0,0,0,3,0,1,1,0,1,3,3,0,1,1,1,0,2,2,1,0,1,2,0,2,0,1,1,2,2,2,2,2,2,2,1,3,1,3,0,1,1,1,0,0,2,0
Wisconsin,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1
Wyoming,0,0,0,0,3,0,3,0,0,0,0,4,0,0,4,4,4,4,0,0,4,6,5,10,0,4,0,4,4,0,0,4,0,0,4,0,0,5,0,4,0,0,0,0,5,0,0,0,4,0,0,0
