geoName,2020-3-20,2020-3-21,2020-3-22,2020-3-23,2020-3-24,2020-3-25,2020-3-26,2020-3-27,2020-3-28,2020-3-29,2020-3-30,2020-3-31,2020-4-1,2020-4-2,2020-4-3,2020-4-4,2020-4-5,2020-4-6,2020-4-7,2020-4-8,2020-4-9,2020-4-10,2020-4-11,2020-4-12,2020-4-13,2020-4-14,2020-4-15,2020-4-16,2020-4-17,2020-4-18,2020-4-19,2020-4-20,2020-4-21,2020-4-22,2020-4-23,2020-4-24,2020-4-25,2020-4-26,2020-4-27,2020-4-28,2020-4-29,2020-4-30,2020-5-1,2020-5-2,2020-5-3,2020-5-4,2020-5-5,2020-5-6,2020-5-7,2020-5-8,2020-5-9,2020-5-10
Alabama,7,7,7,5,7,5,6,7,6,7,8,6,6,7,6,6,6,5,6,7,5,5,7,7,5,6,5,6,7,8,10,8,8,6,7,7,7,8,6,8,8,9,9,9,10,9,8,10,14,11,10,12
Alaska,2,4,2,2,2,1,3,3,4,3,3,3,1,2,2,3,4,3,2,4,2,2,2,2,1,2,1,2,4,5,7,3,4,3,3,3,4,3,2,3,1,3,4,4,2,1,3,3,4,4,5,2
Arizona,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,4,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Arkansas,3,2,3,3,2,3,3,3,3,3,2,3,2,2,2,2,4,2,2,2,3,3,3,3,3,2,3,3,2,5,4,4,4,3,3,4,3,3,2,3,3,4,4,3,4,4,4,4,6,5,5,4
California,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Colorado,4,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,2,3,3,3,3,4,2,3,3,4,5,4,3,3,3,3,3,4,3,2,2,3,3,3,3,3,4,3,3,3,4,4
Connecticut,4,4,4,4,5,5,4,4,5,4,4,5,3,4,4,4,5,4,3,4,4,4,4,6,4,5,4,4,4,7,6,6,5,4,5,5,5,5,4,5,4,4,4,5,6,5,5,4,5,4,5,7
Delaware,4,3,4,2,4,2,4,3,5,4,3,4,3,4,3,4,5,5,3,3,3,5,4,5,4,3,4,4,5,7,8,7,3,3,4,3,6,6,2,3,3,4,3,4,4,4,4,4,4,4,4,4
District of Columbia,6,5,4,3,5,3,5,3,3,4,3,4,4,4,3,2,5,5,3,6,4,4,3,5,4,5,5,4,4,10,6,6,4,6,4,5,4,4,2,5,4,4,2,3,3,4,5,6,4,5,3,4
Florida,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Georgia,6,6,6,6,6,5,5,6,6,7,7,7,6,6,6,6,6,6,6,6,5,5,6,7,6,5,6,5,6,8,8,7,7,7,7,7,8,7,6,7,6,8,7,8,9,7,8,9,10,8,9,10
Hawaii,3,2,3,3,2,2,2,3,2,3,2,2,2,2,3,2,2,2,2,3,2,3,2,3,3,2,2,1,2,3,4,3,2,3,3,1,4,3,2,2,1,2,2,2,3,2,2,2,2,2,3,3
Idaho,1,3,2,2,1,1,2,3,3,3,2,1,2,2,1,2,2,2,2,2,2,1,1,1,2,1,1,2,2,2,3,3,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2
Illinois,4,4,4,3,4,3,4,4,4,4,3,4,3,3,4,3,4,3,3,3,3,3,4,5,4,3,3,3,4,6,6,4,4,4,4,4,5,5,4,4,4,5,5,4,4,4,4,5,5,5,5,7
Indiana,5,6,5,4,4,5,4,4,5,4,4,4,3,3,4,4,4,4,3,3,3,4,3,4,3,3,3,5,4,5,5,4,4,4,4,5,5,5,4,3,4,4,4,5,5,4,5,5,5,5,6,8
Iowa,3,4,4,3,2,3,3,2,3,3,3,3,3,3,4,3,2,2,3,2,3,1,4,5,3,3,3,2,3,4,5,3,3,3,3,3,3,3,2,3,2,3,4,3,3,2,3,3,3,3,3,4
Kansas,2,3,3,2,2,2,3,2,2,2,2,2,2,2,2,3,2,3,3,2,2,2,2,2,3,3,3,3,3,3,4,3,2,3,4,2,3,3,2,3,3,3,4,4,2,3,3,3,4,3,4,3
Kentucky,5,5,4,3,4,3,3,3,5,4,4,4,4,3,3,3,4,3,3,3,3,4,4,5,4,4,4,3,5,5,5,4,5,4,4,4,6,6,4,5,4,5,6,5,6,5,6,6,6,6,6,8
Louisiana,4,4,5,3,4,4,4,5,5,5,5,5,4,4,4,4,5,5,4,5,4,5,5,4,6,4,4,6,5,6,6,6,5,6,6,5,5,8,6,6,5,6,7,7,8,6,7,8,8,7,9,8
Maine,4,6,4,5,3,5,5,4,4,5,4,5,4,4,5,4,6,5,3,4,3,5,4,4,5,6,4,5,5,6,5,5,5,5,6,4,5,6,4,5,4,6,5,5,5,4,5,4,3,4,5,5
Maryland,4,3,4,2,4,3,3,3,4,4,4,4,3,3,2,3,3,4,3,3,4,3,4,4,4,3,3,3,4,6,5,4,3,4,4,4,4,4,3,3,3,4,4,4,4,3,4,4,4,4,4,4
Massachusetts,4,4,4,4,5,4,4,4,4,5,4,4,4,4,3,4,4,3,4,4,4,4,5,6,4,4,4,4,5,7,7,5,4,5,4,4,5,5,4,4,4,4,5,4,5,4,4,5,5,4,5,6
Michigan,5,5,5,4,4,4,4,4,5,5,5,5,3,4,3,4,4,3,4,4,3,4,4,4,4,4,4,4,4,6,6,5,4,4,4,4,4,4,3,3,3,4,4,4,5,4,4,4,4,5,5,6
Minnesota,4,3,4,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,2,3,3,2,3,4,3,3,3,2,3,3,4,3,3,3,2,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3
Mississippi,4,3,4,4,3,4,3,3,3,4,3,4,3,4,2,3,4,4,4,5,4,5,3,3,4,4,2,3,4,6,5,4,5,3,5,5,5,6,4,4,4,6,5,5,7,5,5,6,7,6,6,7
Missouri,4,3,3,3,3,3,2,3,3,3,3,3,2,2,2,3,3,3,3,3,3,2,3,4,2,3,3,3,3,4,4,3,4,3,4,3,4,3,3,3,3,4,3,3,4,3,4,5,4,4,4,5
Montana,1,3,2,2,2,3,1,2,3,2,1,2,1,2,2,2,2,2,2,2,3,3,3,2,3,1,2,3,2,3,2,2,2,2,2,3,3,2,3,3,1,2,2,2,3,3,2,2,3,3,4,2
Nebraska,2,3,2,2,2,1,2,3,2,2,3,2,2,2,2,2,2,2,3,2,3,3,2,3,2,3,3,2,2,3,3,2,2,3,3,3,2,3,2,3,2,3,3,3,2,2,3,2,3,3,3,4
Nevada,2,3,2,2,2,2,2,2,3,2,2,3,2,2,2,3,3,2,2,3,2,2,3,3,3,2,2,3,2,4,4,2,3,3,3,2,3,4,2,2,2,3,2,2,2,3,2,3,2,3,2,4
New Hampshire,4,4,5,4,4,4,3,4,5,6,6,4,3,4,4,4,5,3,3,3,4,3,4,6,4,5,3,4,5,7,6,5,5,5,5,6,5,4,5,4,3,4,3,4,6,3,4,5,4,5,4,5
New Jersey,4,4,5,3,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,5,5,4,4,4,4,7,7,5,5,5,5,4,5,5,4,4,4,4,4,5,4,4,5,5,4,5,6,7
New Mexico,2,1,1,1,2,2,2,2,3,3,2,3,1,2,1,2,1,3,2,2,1,2,2,3,2,2,1,3,2,3,4,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,3
New York,4,4,4,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,5,6,6,5,5,4,4,5,5,5,4,4,4,4,5,5,6,5,5,5,5,5,6,7
North Carolina,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,4,3,3,3,3,4,4,4,4,3,3,3,4,5,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,5
North Dakota,2,2,3,2,3,3,3,3,2,3,1,2,2,3,3,2,4,2,2,3,1,2,3,3,3,3,2,3,3,3,4,3,4,2,3,3,2,4,2,2,1,2,3,4,3,3,4,3,3,3,3,4
Ohio,4,4,5,4,4,4,4,4,4,5,5,4,3,4,4,5,4,4,4,4,3,4,5,4,4,4,4,4,5,6,6,5,5,4,4,4,4,5,4,5,4,5,5,4,5,4,5,5,5,6,6,7
Oklahoma,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,4,3,3,3,2,2,2,3,3,2,2,2,3,3,4,3,3,4,3,3,3,4
Oregon,2,2,2,2,3,2,2,1,2,2,2,3,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,2,2,3,3,2,2,3,2,2,2,2,2,1,2,2,2,2,3,2,2,2,2,2,2,2
Pennsylvania,3,4,4,3,3,3,3,3,4,4,3,4,3,3,3,4,4,3,3,3,3,3,4,4,3,4,3,3,4,5,6,4,4,4,4,4,5,5,3,3,3,4,4,4,4,4,4,4,4,4,5,5
Rhode Island,5,3,4,3,5,4,4,4,4,4,3,5,4,3,4,5,5,3,3,5,5,3,6,6,5,4,4,3,5,6,5,5,4,5,5,4,4,7,5,3,3,4,3,4,4,4,5,4,5,5,7,4
South Carolina,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,5,4,4,4,3,4,5,6,5,5,4,4,3,4,5,3,4,4,4,4,6,6,4,4,5,5,5,5,7
South Dakota,2,3,2,1,3,1,2,3,2,3,1,2,1,2,2,3,3,2,3,1,2,3,2,4,2,4,2,2,2,2,5,3,2,3,3,3,3,4,2,2,2,2,3,2,1,2,3,2,2,3,2,2
Tennessee,5,5,5,4,4,4,4,4,5,5,5,4,4,5,3,4,4,4,4,3,4,4,4,4,4,5,5,4,6,6,7,6,5,6,5,5,6,7,4,5,6,6,5,6,6,6,6,6,9,6,7,8
Texas,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,3,4,3,3,3,3,2,3,3,2,2,2,2,3,2,3,3,3,3,4,3,3,3
Utah,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,1,1,2,4,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,3,2,2,2,2,2,2,2
Vermont,3,5,5,2,3,3,3,3,7,3,5,5,3,4,5,5,4,4,4,6,1,2,3,4,4,3,2,4,5,5,7,2,5,6,3,5,6,6,4,1,4,3,3,2,4,5,6,4,3,4,4,7
Virginia,4,4,3,3,4,3,4,4,4,4,4,4,3,3,4,3,4,4,3,4,3,4,4,4,4,4,4,3,5,4,5,4,3,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5
Washington,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,4,3,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,3
West Virginia,3,2,3,2,3,2,2,4,3,4,4,2,2,3,3,4,3,3,4,3,4,2,3,4,3,4,3,4,4,4,4,3,3,4,3,3,3,6,3,3,4,4,4,4,6,3,3,4,3,4,5,7
Wisconsin,4,4,4,3,3,4,3,2,4,4,4,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,2,3,3,4,4,3,4,4,4,3,3,4,3,3,2,3,3,3,3,3,3,3,3,3,4,4
Wyoming,3,2,3,2,2,2,1,3,2,3,4,3,3,3,2,3,3,2,3,4,3,2,3,2,2,3,1,3,3,6,2,3,4,3,2,5,3,4,2,3,3,1,4,4,2,3,5,5,3,3,2,2
