geoName,2020-3-20,2020-3-21,2020-3-22,2020-3-23,2020-3-24,2020-3-25,2020-3-26,2020-3-27,2020-3-28,2020-3-29,2020-3-30,2020-3-31,2020-4-1,2020-4-2,2020-4-3,2020-4-4,2020-4-5,2020-4-6,2020-4-7,2020-4-8,2020-4-9,2020-4-10,2020-4-11,2020-4-12,2020-4-13,2020-4-14,2020-4-15,2020-4-16,2020-4-17,2020-4-18,2020-4-19,2020-4-20,2020-4-21,2020-4-22,2020-4-23,2020-4-24,2020-4-25,2020-4-26,2020-4-27,2020-4-28,2020-4-29,2020-4-30,2020-5-1,2020-5-2,2020-5-3,2020-5-4,2020-5-5,2020-5-6,2020-5-7,2020-5-8,2020-5-9,2020-5-10
Alabama,10,12,12,10,10,11,12,9,11,10,10,10,10,11,10,10,12,10,10,10,11,9,10,10,9,11,10,10,11,11,11,9,11,11,14,13,14,12,11,13,11,12,11,13,14,12,10,15,17,16,13,14
Alaska,4,2,2,1,1,3,1,3,0,3,1,2,2,1,1,2,4,2,2,0,4,2,4,0,2,2,0,3,1,2,4,4,4,1,3,2,2,3,1,2,2,1,3,3,4,1,2,1,3,4,3,4
Arizona,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,3,2,1,1,2,1,1,1,2,2,3,2,3,2,2,2,2,2,2,2,1,3,2,2,2,2,3,3,3,3
Arkansas,2,2,2,1,2,2,1,1,1,1,1,2,1,1,1,2,2,1,1,3,2,3,2,2,2,1,2,2,2,1,2,2,3,2,3,2,2,4,2,3,3,2,2,2,2,3,2,3,3,5,3,2
California,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2
Colorado,1,2,2,1,1,2,1,2,1,1,2,2,1,1,2,1,1,2,1,1,1,1,3,3,2,2,1,2,2,1,2,2,2,3,3,3,3,2,2,2,2,2,2,3,3,2,2,2,3,5,3,3
Connecticut,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,2,2,2,2,1,2,2,3,2,2,2,2,2,1,2,3,2,3,3,4,4,3,3,3,2,3,2,2,3,2,3,3,4,3,4,3,4
Delaware,2,3,2,2,3,2,2,1,1,2,1,4,1,2,1,2,3,2,3,2,2,3,4,2,1,2,2,2,2,2,3,2,4,4,4,3,5,3,4,3,3,2,4,4,4,3,4,4,5,5,3,3
District of Columbia,7,4,3,5,4,5,3,5,5,4,6,4,4,3,2,4,5,5,4,3,3,4,5,6,6,6,6,7,8,3,3,5,8,5,5,8,6,4,6,4,7,6,6,7,6,5,5,7,10,8,6,7
Florida,4,5,5,3,4,4,4,4,4,4,4,4,3,3,4,4,5,4,4,4,4,4,5,5,4,4,4,4,4,5,5,5,6,5,6,6,6,6,6,5,5,5,5,6,6,5,5,7,7,8,7,7
Georgia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Hawaii,1,2,2,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,2,3,1,2,2,2,2,2,2,4,1,1,3,3,3,4,3,2,1,3,3,5,4,4
Idaho,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,3,1,2,1,1,1,1,1,1,2,2,1,1,1,2,3,2,2
Illinois,1,2,2,2,1,1,2,2,2,2,1,2,1,1,2,2,2,2,2,1,2,2,3,2,2,2,1,1,1,2,2,2,4,3,3,3,3,3,2,2,3,2,2,2,2,2,3,3,5,5,4,3
Indiana,2,2,2,1,2,2,1,1,2,2,1,2,1,2,1,1,3,2,2,1,1,2,3,2,1,1,1,2,1,2,3,2,3,3,3,3,3,3,2,3,2,2,2,3,3,3,3,3,3,4,4,4
Iowa,2,2,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2,3,3,3,2,3,1,2,2,2,1,2,2,1,1,2,3,4,4,3
Kansas,1,2,1,1,1,2,2,2,2,1,1,2,1,1,1,2,2,2,1,1,2,2,3,2,2,2,1,1,1,1,2,2,2,3,2,3,2,2,2,2,2,1,1,2,3,2,1,3,3,4,3,3
Kentucky,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,3,2,2,2,2,3,3,3,2,2,2,2,1,2,1,2,4,3,3,3,4,2,2,2,3,2,3,4,4,2,3,3,4,5,3,3
Louisiana,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,3,2,2,3,2,2,2,3,3,2,4,3,3,3,2,3,3,3,2,2,3,2,3,2,3,4,5,7,4,4
Maine,2,1,2,1,1,2,1,1,2,3,1,2,2,1,2,1,3,2,1,1,2,1,2,2,3,2,2,2,2,2,2,2,2,2,4,3,3,3,3,1,2,2,4,5,3,2,3,3,3,4,3,2
Maryland,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,3,2,2,2,3,3,3,2,2,2,2,2,2,3,3,4,3,5,4,4,4,3,4,3,3,3,4,4,3,3,6,5,6,4,5
Massachusetts,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,3,3,1,2,1,2,2,2,2,2,3,2,3,3,3,3,3,2,2,2,3,3,3,3,2,2,4,5,4,3
Michigan,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,3,2,2,3,3,2,2,4,5,5,4,4
