geoName,2020-3-20,2020-3-21,2020-3-22,2020-3-23,2020-3-24,2020-3-25,2020-3-26,2020-3-27,2020-3-28,2020-3-29,2020-3-30,2020-3-31,2020-4-1,2020-4-2,2020-4-3,2020-4-4,2020-4-5,2020-4-6,2020-4-7,2020-4-8,2020-4-9,2020-4-10,2020-4-11,2020-4-12,2020-4-13,2020-4-14,2020-4-15,2020-4-16,2020-4-17,2020-4-18,2020-4-19,2020-4-20,2020-4-21,2020-4-22,2020-4-23,2020-4-24,2020-4-25,2020-4-26,2020-4-27,2020-4-28,2020-4-29,2020-4-30,2020-5-1,2020-5-2,2020-5-3,2020-5-4,2020-5-5,2020-5-6,2020-5-7,2020-5-8,2020-5-9,2020-5-10
Alabama,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1
Alaska,2,2,2,1,2,0,0,0,2,0,2,0,2,0,3,6,3,2,0,3,3,0,3,0,2,0,3,0,8,0,0,4,2,2,2,0,0,0,3,0,3,0,3,3,0,4,3,0,0,0,0,4
Arizona,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arkansas,1,0,1,0,1,1,1,2,1,1,1,0,2,1,1,1,1,1,1,0,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
California,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Colorado,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Connecticut,8,8,8,6,5,7,6,7,9,9,7,7,9,8,8,6,7,8,8,6,7,9,7,7,8,9,9,8,7,7,7,9,8,9,6,7,8,9,8,8,12,10,10,9,9,8,9,10,7,9,9,9
Delaware,1,2,2,1,1,1,1,1,3,1,2,2,1,3,0,2,2,1,2,2,2,3,2,0,1,2,2,3,2,3,4,1,0,1,2,0,0,3,1,2,2,2,4,6,3,0,1,1,0,2,2,2
District of Columbia,3,2,3,2,3,4,3,3,3,4,5,5,3,4,3,5,3,3,6,4,2,7,4,3,3,5,3,2,3,4,3,4,3,4,4,3,7,4,4,4,2,3,4,4,5,3,4,3,4,5,3,3
Florida,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2
Georgia,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Hawaii,1,1,2,0,1,1,1,1,1,1,1,1,1,1,2,1,0,0,1,1,1,0,1,0,1,1,2,1,1,1,2,2,1,2,2,1,0,3,0,1,2,2,1,1,3,1,1,2,1,0,2,4
Idaho,1,1,3,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,2,1,2,2,1,1,1,1,0,1,1,2,1,1,2,2,3,2,1,1,2,1,0,2,2,2,1,0,1,1
Illinois,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Indiana,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
Iowa,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,2,1,2,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Kansas,1,1,1,0,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,2,1,3,1,1,1,1,1,1,1,0,1
Kentucky,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Louisiana,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,2,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1
Maine,6,8,10,12,10,6,12,10,11,7,8,10,11,6,11,5,10,6,9,10,5,7,6,10,6,8,6,8,10,8,8,6,10,14,11,11,12,12,10,12,16,10,12,9,8,11,10,9,10,6,9,8
Maryland,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,2,2,1,1,2,2,1
Massachusetts,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Michigan,2,2,1,1,2,1,2,2,1,2,1,2,2,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1
Minnesota,0,1,0,0,1,0,0,1,2,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1
Mississippi,1,1,1,1,0,1,1,2,0,1,1,1,1,1,0,1,1,1,0,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,0,2,1,1,1,2,1,1,0,2,1,0,1,2,1
Missouri,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0
Montana,0,0,0,1,1,1,1,1,2,2,1,2,1,0,0,2,0,1,3,2,2,2,4,0,0,4,2,2,2,2,2,0,1,2,2,2,2,4,2,2,2,2,0,2,2,0,3,0,3,0,2,2
Nebraska,1,0,0,0,1,1,1,1,0,0,0,1,1,2,1,1,1,1,1,1,2,1,2,1,1,2,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1
Nevada,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
New Hampshire,25,19,22,33,20,19,25,20,28,21,19,23,24,21,17,16,19,16,15,21,13,18,18,21,22,22,23,15,21,22,18,22,21,24,24,21,22,21,21,18,22,23,29,19,20,19,21,20,22,24,22,22
New Jersey,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,2,1,2,2,1,2,1,1,2,2,1,2,1,2,1,2,1,2,2,2,1,1,3,2,2,1,2,1,1
New Mexico,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,2,0,2,1,2,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,2,1,2,0,1,1
New York,2,2,1,1,1,2,2,1,1,1,2,2,2,1,2,1,1,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2
North Carolina,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
North Dakota,1,0,0,0,0,2,2,4,0,0,0,0,0,2,2,2,2,2,0,0,0,5,0,3,2,2,0,2,0,3,5,2,2,0,0,0,0,0,4,0,0,4,2,3,0,2,2,2,0,0,0,6
Ohio,1,0,1,0,1,1,0,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,1
Oklahoma,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
Oregon,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
Pennsylvania,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,2,1,1
Rhode Island,27,18,29,32,25,20,18,25,22,21,23,25,25,20,21,14,22,18,23,19,22,17,17,20,19,18,21,27,27,20,17,18,21,15,16,21,22,15,21,22,25,21,17,17,23,21,18,22,23,23,19,15
South Carolina,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
South Dakota,1,2,3,0,0,0,0,0,2,2,0,2,0,4,2,0,0,0,0,4,3,2,3,3,2,3,2,2,2,0,0,2,3,2,2,0,0,5,2,2,0,2,0,3,3,0,0,0,0,2,3,0
Tennessee,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Texas,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0
Utah,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Vermont,9,6,7,8,8,8,6,3,7,8,9,9,8,10,10,8,7,7,8,6,3,16,6,6,13,8,8,5,9,6,10,7,11,9,12,10,12,9,13,9,8,8,14,15,4,10,3,18,7,4,12,8
Virginia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2,1,2,1,2,1,1
Washington,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
West Virginia,0,1,1,1,1,2,1,1,0,0,2,2,1,1,2,0,1,2,1,1,0,0,0,0,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,0,1,1,2,1,2,1,1,1,2,0,0,1
Wisconsin,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0
Wyoming,0,0,0,0,2,2,0,5,0,0,0,0,0,3,0,0,0,0,3,3,3,4,4,0,0,0,0,0,0,4,4,0,5,3,0,0,0,7,6,3,0,0,0,4,4,0,0,3,0,3,0,0
