geoName,2020-3-20,2020-3-21,2020-3-22,2020-3-23,2020-3-24,2020-3-25,2020-3-26,2020-3-27,2020-3-28,2020-3-29,2020-3-30,2020-3-31,2020-4-1,2020-4-2,2020-4-3,2020-4-4,2020-4-5,2020-4-6,2020-4-7,2020-4-8,2020-4-9,2020-4-10,2020-4-11,2020-4-12,2020-4-13,2020-4-14,2020-4-15,2020-4-16,2020-4-17,2020-4-18,2020-4-19,2020-4-20,2020-4-21,2020-4-22,2020-4-23,2020-4-24,2020-4-25,2020-4-26,2020-4-27,2020-4-28,2020-4-29,2020-4-30,2020-5-1,2020-5-2,2020-5-3,2020-5-4,2020-5-5,2020-5-6,2020-5-7,2020-5-8,2020-5-9,2020-5-10
Alabama,1,1,2,2,2,1,2,1,3,1,2,3,2,2,1,1,2,1,2,2,1,1,1,2,1,1,1,2,1,1,3,1,2,2,2,2,1,2,2,1,1,1,2,1,1,2,1,1,2,2,2,2
Alaska,4,0,0,0,3,4,4,4,7,0,3,0,0,8,0,0,5,4,0,4,0,0,5,5,0,0,4,4,4,5,0,8,4,4,4,5,5,0,4,0,0,4,10,0,5,4,0,4,0,4,11,0
Arizona,2,1,2,2,3,2,2,2,1,2,2,2,1,2,2,2,2,2,3,2,2,2,3,2,1,2,1,2,3,1,2,2,2,1,2,2,1,3,2,2,1,2,2,2,2,3,1,2,2,2,2,1
Arkansas,2,1,3,2,1,1,1,1,1,1,1,0,1,1,1,2,3,1,1,1,2,1,3,2,2,1,2,1,3,1,2,1,2,1,2,3,2,3,1,1,1,2,1,1,0,1,2,1,1,2,0,1
California,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,1
Colorado,2,1,2,1,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,1,1,2,2,2,2,2,1,2,3,2,2,2,3,3,2,3,2,2,3,2,1,1,2,2,2,1,2,1,1,2,1,1
Connecticut,5,4,6,5,4,5,5,5,6,4,5,6,6,5,4,5,4,4,5,5,5,5,5,7,4,5,5,7,5,6,4,5,8,6,6,6,4,5,7,5,6,6,5,4,5,4,5,5,7,8,4,5
Delaware,12,15,18,11,8,13,11,9,12,13,13,13,13,10,15,10,17,17,14,11,13,9,11,10,12,12,12,12,12,11,8,13,8,10,14,10,11,11,13,9,8,17,14,9,9,10,10,15,16,15,11,12
District of Columbia,2,4,7,4,3,6,6,3,2,3,3,6,13,8,5,3,7,7,11,9,5,7,4,8,5,6,8,6,7,5,6,6,8,10,3,7,6,9,3,7,5,11,7,3,6,4,4,5,7,7,15,5
Florida,3,2,3,3,3,4,3,3,3,4,3,3,3,3,4,3,4,4,4,4,3,4,4,3,4,4,3,4,4,3,3,4,4,4,4,4,3,4,3,3,3,4,4,3,3,4,3,4,4,4,4,4
Georgia,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,3,3,2,3,2,2,2,4,3,2,2,3,2,2,3,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
