geoName,2020-3-20,2020-3-21,2020-3-22,2020-3-23,2020-3-24,2020-3-25,2020-3-26,2020-3-27,2020-3-28,2020-3-29,2020-3-30,2020-3-31,2020-4-1,2020-4-2,2020-4-3,2020-4-4,2020-4-5,2020-4-6,2020-4-7,2020-4-8,2020-4-9,2020-4-10,2020-4-11,2020-4-12,2020-4-13,2020-4-14,2020-4-15,2020-4-16,2020-4-17,2020-4-18,2020-4-19,2020-4-20,2020-4-21,2020-4-22,2020-4-23,2020-4-24,2020-4-25,2020-4-26,2020-4-27,2020-4-28,2020-4-29,2020-4-30,2020-5-1,2020-5-2,2020-5-3,2020-5-4,2020-5-5,2020-5-6,2020-5-7,2020-5-8,2020-5-9,2020-5-10
Alabama,6,11,10,11,10,13,15,14,14,16,13,14,14,16,14,17,14,14,14,12,14,14,15,14,9,10,12,10,12,11,9,11,9,12,9,9,8,11,7,8,8,11,11,7,7,11,10,11,10,9,7,7
Alaska,12,17,14,7,13,18,10,22,12,23,12,13,18,21,17,16,19,21,14,25,8,9,20,24,15,14,19,8,25,15,8,16,15,12,11,11,20,14,10,11,15,21,12,8,9,7,6,6,6,8,9,14
Arizona,9,12,11,13,13,15,15,17,14,16,16,16,15,18,17,23,19,18,17,16,16,20,18,18,16,14,12,13,15,13,13,13,12,12,14,17,14,12,11,12,11,11,12,12,13,9,10,12,11,11,11,10
Arkansas,7,9,9,8,11,11,15,12,13,12,12,17,14,11,17,22,16,10,14,15,13,10,16,15,11,12,8,9,10,13,11,11,9,7,13,9,13,14,11,10,7,10,8,7,8,9,8,8,7,7,6,7
California,8,14,13,13,15,16,17,19,17,17,17,17,18,19,19,23,20,17,17,18,18,20,19,18,16,15,14,13,17,16,15,13,13,12,13,15,13,13,12,13,11,12,14,12,12,11,12,11,11,12,10,12
Colorado,10,13,12,11,14,19,16,19,16,19,14,17,16,18,19,21,20,18,17,16,16,17,21,17,15,17,15,11,15,13,15,14,12,13,15,15,12,14,10,10,11,11,11,11,13,12,12,10,8,12,9,12
Connecticut,31,35,27,29,29,33,28,35,35,31,26,30,28,35,36,39,32,27,30,29,32,35,31,31,30,32,28,29,36,30,30,29,28,26,29,35,30,30,29,32,30,28,30,27,27,28,27,27,26,29,27,26
Delaware,11,22,16,17,18,20,11,22,16,20,23,23,20,19,18,28,14,23,29,16,22,32,31,26,22,20,12,21,25,22,15,24,15,14,17,20,20,17,15,13,11,25,16,25,18,18,13,14,16,14,20,18
District of Columbia,23,34,22,29,32,40,32,31,23,25,33,30,24,34,35,44,28,35,37,40,30,28,27,29,39,34,38,32,29,30,30,26,26,38,21,45,20,34,28,31,30,26,25,26,34,32,27,26,27,44,31,28
Florida,14,19,18,19,21,22,21,24,23,22,21,23,22,23,23,29,26,22,23,23,21,25,26,25,21,20,20,17,22,22,20,18,19,19,18,21,20,20,17,18,18,20,18,18,19,18,17,18,17,20,18,18
Georgia,8,12,10,12,14,13,14,15,13,14,12,17,15,15,16,23,16,15,17,16,16,16,17,15,14,14,13,11,13,13,12,12,12,10,11,14,11,13,9,10,11,9,12,11,11,10,11,10,9,11,11,9
Hawaii,8,20,11,12,8,16,10,22,20,16,15,20,15,17,19,36,15,17,22,13,16,27,17,13,15,17,13,15,12,21,13,15,15,14,14,17,10,12,16,16,11,13,18,14,14,19,12,12,14,13,11,14
Idaho,8,13,11,12,12,11,17,19,16,15,14,19,13,16,18,22,20,17,12,16,14,18,16,16,15,17,13,11,12,19,10,13,11,9,11,12,10,10,7,11,8,7,8,6,8,8,11,10,10,10,6,9
Illinois,10,12,13,13,17,16,20,20,16,18,17,18,17,17,19,22,20,17,18,17,16,19,17,17,16,16,13,14,17,14,13,13,12,12,13,15,11,13,11,13,10,13,13,10,9,11,11,12,12,12,10,12
