geoName,2020-3-20,2020-3-21,2020-3-22,2020-3-23,2020-3-24,2020-3-25,2020-3-26,2020-3-27,2020-3-28,2020-3-29,2020-3-30,2020-3-31,2020-4-1,2020-4-2,2020-4-3,2020-4-4,2020-4-5,2020-4-6,2020-4-7,2020-4-8,2020-4-9,2020-4-10,2020-4-11,2020-4-12,2020-4-13,2020-4-14,2020-4-15,2020-4-16,2020-4-17,2020-4-18,2020-4-19,2020-4-20,2020-4-21,2020-4-22,2020-4-23,2020-4-24,2020-4-25,2020-4-26,2020-4-27,2020-4-28,2020-4-29,2020-4-30,2020-5-1,2020-5-2,2020-5-3,2020-5-4,2020-5-5,2020-5-6,2020-5-7,2020-5-8,2020-5-9,2020-5-10
Alabama,5,6,6,5,5,5,5,5,5,6,5,5,6,5,5,4,4,5,4,5,5,5,6,6,6,6,4,6,5,7,6,8,6,7,7,6,7,7,7,7,6,7,6,8,6,6,7,6,6,9,9,8
Alaska,2,0,3,0,1,2,0,0,0,3,2,1,0,2,2,2,4,2,4,3,2,2,2,2,1,2,3,4,0,2,4,3,5,2,2,3,6,2,2,3,0,2,3,3,2,2,2,2,4,3,5,3
Arizona,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arkansas,4,6,4,5,5,4,5,5,5,5,3,5,4,4,4,5,5,4,4,4,5,4,6,4,5,5,4,4,5,5,5,7,5,5,5,3,7,7,6,6,7,7,5,7,7,5,4,5,5,6,5,5
California,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Colorado,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2
Connecticut,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
Delaware,1,1,0,1,2,1,1,1,0,2,1,2,1,1,1,2,2,1,1,1,3,1,2,2,1,4,2,1,2,0,3,2,1,1,1,1,2,3,2,1,2,2,2,2,3,2,2,1,2,3,3,4
District of Columbia,1,2,0,2,2,2,1,1,1,2,1,2,2,1,1,1,3,2,1,2,2,1,3,2,1,2,0,1,1,3,3,2,2,2,2,1,2,3,2,3,1,3,2,1,2,2,2,2,3,1,3,3
Florida,1,2,2,1,2,2,1,1,2,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,3,3
Georgia,4,4,4,4,4,5,4,4,5,5,4,4,4,4,4,4,4,4,4,5,5,4,4,5,5,5,4,5,5,5,5,4,4,4,4,4,5,4,4,4,4,5,5,5,6,4,5,6,6,5,5,7
Hawaii,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,2,1,1,2,1,2,1,1,2,1,2,1,2,1,2,2,1,2,2,1,1,2,2,2,1,1,1,1,3,3,1,1,1,1,1,2,1
Idaho,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,3
Illinois,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3
Indiana,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,3,2,2,2,3,3,2,2,2,3,3,3,3,3,3,3,2,4,4,2,2,2,3,3,2,3,2,3,2,3,4,3,3
Iowa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,2,1,3,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,3,1,3,2,2
Kansas,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,2,1,1,1,1,0,1,1,1,2,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,3,3
Kentucky,5,6,6,6,5,6,6,8,10,6,5,8,6,5,5,6,5,4,5,5,6,5,3,5,4,5,5,5,5,6,5,6,6,6,7,6,8,8,7,7,8,8,6,8,8,6,7,7,8,7,9,9
Louisiana,2,2,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1,2,2,2,1,2,3,2,2,2,2,2,2,1,2,2,1,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,3,1,3,1
Maine,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,3,1,3,1,1,1,2,2,1,2,2,1,2,1,2,1,2,1,1,1,1,1,1,1,2,3,1,1,1
Maryland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1
Massachusetts,1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Michigan,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,1,3,2,2,1,2,2,2,3,3
Minnesota,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1
Mississippi,5,5,6,5,6,7,6,6,7,4,5,6,5,3,5,5,5,6,5,6,5,6,5,5,4,5,6,5,5,8,7,7,5,6,7,6,8,8,6,6,8,7,6,7,5,5,6,8,9,6,6,7
Missouri,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,2,2,1,2,2,1,1,2,1,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2
Montana,1,2,2,1,0,2,1,3,2,2,2,1,1,1,2,1,1,1,2,2,3,3,1,2,1,2,1,2,1,2,2,1,1,1,1,2,1,2,1,2,2,2,3,4,2,1,1,3,1,2,2,2
Nebraska,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,1,1
Nevada,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
New Hampshire,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,2,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
New Jersey,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
New Mexico,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2
New York,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
North Carolina,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,3,3,3,4,4,4,4,4,5,4,4,4,4,3,3,3,3,3,2,3,3,4,4,4
North Dakota,1,1,2,1,2,1,1,1,2,3,2,0,0,1,1,0,2,3,1,2,2,2,2,5,1,3,1,2,2,2,2,1,1,3,2,3,2,0,1,2,0,2,0,2,2,2,1,2,3,4,2,0
Ohio,1,1,2,2,1,2,2,1,2,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,3,3,3,3,2,2,3,3,3,3,4
Oklahoma,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,2,1,1,2,1,2,1,2,1,2,2,1,1,1,1,2,2,1,1,1,2,2,2,2,2
Oregon,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,2,1
Pennsylvania,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rhode Island,1,1,2,1,0,1,1,2,0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,2,3,2,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,1,1
South Carolina,2,2,2,1,2,1,2,2,1,2,1,2,2,1,1,1,2,2,2,2,3,2,1,3,2,2,2,3,3,3,3,2,2,3,2,3,2,3,3,2,2,3,3,3,3,2,3,3,2,3,3,3
South Dakota,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,1,2,2,0,0,1,1,2,2,0,0,1,1,2,1,1,4,4,0,1,1,0,0,0,4,0,3,2,2,2,4,0
Tennessee,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Texas,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Utah,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
Vermont,3,2,1,1,1,3,1,3,2,2,2,1,1,2,1,2,2,2,2,2,3,0,2,2,1,3,3,3,3,3,2,4,2,0,0,2,2,0,2,2,2,2,2,2,2,4,1,0,0,2,4,2
Virginia,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,3,2,3,3,2,2,2,3,3,2,2,2,2,3,2,3,3
Washington,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
West Virginia,1,2,3,1,2,1,2,1,2,2,2,2,1,2,1,2,2,2,2,1,2,1,5,3,1,3,3,3,2,4,3,3,2,2,3,2,3,3,1,2,2,3,2,3,4,3,2,3,3,3,3,2
Wisconsin,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,2
Wyoming,2,0,0,2,4,4,3,2,5,0,5,2,3,1,1,0,5,4,2,2,2,2,3,0,4,2,0,4,4,3,4,2,2,7,2,2,3,9,4,0,2,4,2,3,0,2,2,4,2,0,3,6
