geoName,2020-3-20,2020-3-21,2020-3-22,2020-3-23,2020-3-24,2020-3-25,2020-3-26,2020-3-27,2020-3-28,2020-3-29,2020-3-30,2020-3-31,2020-4-1,2020-4-2,2020-4-3,2020-4-4,2020-4-5,2020-4-6,2020-4-7,2020-4-8,2020-4-9,2020-4-10,2020-4-11,2020-4-12,2020-4-13,2020-4-14,2020-4-15,2020-4-16,2020-4-17,2020-4-18,2020-4-19,2020-4-20,2020-4-21,2020-4-22,2020-4-23,2020-4-24,2020-4-25,2020-4-26,2020-4-27,2020-4-28,2020-4-29,2020-4-30,2020-5-1,2020-5-2,2020-5-3,2020-5-4,2020-5-5,2020-5-6,2020-5-7,2020-5-8,2020-5-9,2020-5-10
Alabama,4,4,5,4,4,5,4,4,5,5,4,5,5,5,6,6,6,5,5,5,4,5,7,6,4,5,5,5,5,6,6,4,5,3,6,4,5,6,4,4,4,4,4,6,6,5,4,5,5,5,5,8
Alaska,6,5,6,5,6,6,6,5,8,10,5,2,5,5,8,4,7,3,5,6,4,4,11,6,3,6,4,7,5,6,5,6,7,7,5,6,10,4,7,7,4,8,4,4,8,2,6,6,5,6,7,10
Arizona,4,5,5,5,5,6,4,5,6,6,5,5,4,5,5,6,6,5,5,5,5,6,7,8,6,5,5,6,5,7,8,6,6,6,6,6,7,7,5,5,6,5,6,7,6,5,5,5,6,6,7,10
Arkansas,9,8,12,10,9,10,9,11,11,12,10,9,9,10,12,9,11,10,11,9,9,10,10,10,8,9,8,9,9,10,10,11,10,12,12,11,12,10,9,10,9,10,8,9,10,9,11,9,10,12,12,13
California,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,4,4,3,4,4,3,3,4,4,4,3,3,3,3,4,5,4,4,4,4,4,4,4,3,3,3,4,4,4,5,4,4,4,4,4,4,5
Colorado,6,7,7,6,6,7,7,7,8,8,5,5,5,6,6,9,8,6,5,6,6,7,8,9,6,7,7,7,7,8,9,7,6,6,7,8,7,8,5,6,6,6,7,7,8,6,5,7,7,5,9,10
Connecticut,2,3,3,3,3,3,4,3,3,3,3,2,2,4,4,4,4,3,3,3,3,5,4,4,3,3,3,4,3,4,4,4,3,4,4,4,4,4,3,4,4,3,3,4,4,3,3,3,5,4,4,6
Delaware,4,5,3,2,4,4,3,7,5,5,4,3,4,4,6,5,5,4,4,4,5,5,7,6,2,3,4,4,4,10,6,6,6,5,6,7,6,7,5,2,3,3,5,4,5,4,3,5,3,6,6,15
District of Columbia,4,4,2,3,7,7,4,3,2,4,3,4,5,5,5,5,2,3,5,4,3,4,5,3,3,4,4,4,7,4,4,6,5,4,6,5,4,4,7,5,6,5,5,2,4,5,4,5,6,5,3,4
Florida,3,4,3,3,4,4,4,4,4,4,3,3,4,4,4,5,4,4,3,4,4,5,5,5,3,3,4,4,4,5,5,4,4,4,4,4,5,5,3,4,3,4,4,4,4,4,4,4,4,4,5,7
