geoName,2020-3-20,2020-3-21,2020-3-22,2020-3-23,2020-3-24,2020-3-25,2020-3-26,2020-3-27,2020-3-28,2020-3-29,2020-3-30,2020-3-31,2020-4-1,2020-4-2,2020-4-3,2020-4-4,2020-4-5,2020-4-6,2020-4-7,2020-4-8,2020-4-9,2020-4-10,2020-4-11,2020-4-12,2020-4-13,2020-4-14,2020-4-15,2020-4-16,2020-4-17,2020-4-18,2020-4-19,2020-4-20,2020-4-21,2020-4-22,2020-4-23,2020-4-24,2020-4-25,2020-4-26,2020-4-27,2020-4-28,2020-4-29,2020-4-30,2020-5-1,2020-5-2,2020-5-3,2020-5-4,2020-5-5,2020-5-6,2020-5-7,2020-5-8,2020-5-9,2020-5-10
Alabama,1,2,1,1,2,1,2,2,2,2,1,3,2,2,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,3,1,1,2,2,2,1,1,1,2,2,2,1,1,2
Alaska,1,2,2,2,2,3,3,1,2,2,1,2,3,3,2,3,3,2,2,1,3,3,3,2,2,2,1,2,2,3,3,2,2,2,2,2,4,2,1,5,3,1,2,4,2,1,2,2,2,3,2,0
Arizona,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Arkansas,1,1,1,1,1,2,2,1,2,3,1,2,2,1,1,2,2,1,2,2,2,2,1,1,1,3,2,2,2,1,2,2,2,2,1,2,2,1,1,2,1,2,2,1,2,1,1,1,1,1,1,2
California,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Colorado,1,1,1,1,1,1,1,2,1,2,1,2,1,2,2,2,2,1,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,1,2
Connecticut,1,1,2,1,2,1,1,1,2,1,1,2,2,2,1,1,3,2,2,2,2,3,2,2,2,1,3,2,3,2,3,2,2,3,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2
Delaware,3,2,3,4,4,4,3,3,3,3,2,5,3,3,4,1,3,4,3,4,3,4,4,4,3,4,4,4,5,8,3,4,3,3,6,4,5,4,4,4,4,6,1,5,4,3,2,5,4,5,5,7
District of Columbia,13,11,10,15,13,11,19,14,11,11,18,13,12,14,13,12,12,11,11,12,13,18,11,12,15,13,15,20,10,15,12,13,12,13,15,13,9,14,16,16,13,17,11,15,16,15,18,16,17,17,17,14
Florida,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
