geoName,2020-3-20,2020-3-21,2020-3-22,2020-3-23,2020-3-24,2020-3-25,2020-3-26,2020-3-27,2020-3-28,2020-3-29,2020-3-30,2020-3-31,2020-4-1,2020-4-2,2020-4-3,2020-4-4,2020-4-5,2020-4-6,2020-4-7,2020-4-8,2020-4-9,2020-4-10,2020-4-11,2020-4-12,2020-4-13,2020-4-14,2020-4-15,2020-4-16,2020-4-17,2020-4-18,2020-4-19,2020-4-20,2020-4-21,2020-4-22,2020-4-23,2020-4-24,2020-4-25,2020-4-26,2020-4-27,2020-4-28,2020-4-29,2020-4-30,2020-5-1,2020-5-2,2020-5-3,2020-5-4,2020-5-5,2020-5-6,2020-5-7,2020-5-8,2020-5-9,2020-5-10
Alabama,3,4,3,3,2,3,3,4,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,4,3,4,3,4,3,2,2,3,2,3,3,3,2,3,2,3,4,3,2,3,3,2,3,2,3,3,3,3
Alaska,7,7,7,6,5,11,4,8,8,9,8,8,3,11,7,8,7,8,6,9,8,9,7,10,7,7,8,11,7,8,6,9,5,11,10,12,8,5,6,8,8,11,4,5,9,4,10,6,6,6,7,3
Arizona,3,5,5,4,3,3,5,5,5,5,4,4,4,4,4,4,5,5,4,5,5,5,6,5,5,6,6,6,5,5,4,3,4,4,5,5,5,5,4,4,5,5,3,4,5,4,5,5,4,5,4,4
Arkansas,4,5,6,4,3,5,6,7,6,4,4,4,6,5,5,7,5,4,7,6,6,6,6,7,6,5,7,7,8,7,4,5,4,6,7,6,5,5,4,5,5,7,6,4,5,5,5,8,6,6,5,6
California,3,4,3,3,2,4,4,4,4,4,4,4,4,4,3,4,5,4,4,4,4,4,4,4,4,4,4,5,4,4,3,3,4,3,4,5,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4
Colorado,3,4,4,3,3,4,4,5,5,5,5,4,4,4,3,4,4,4,5,4,5,5,4,5,4,5,4,5,4,4,3,3,4,4,5,4,4,4,4,5,5,4,4,4,4,5,5,5,4,5,5,5
Connecticut,3,4,5,4,3,4,4,4,4,5,4,4,4,4,4,5,5,5,4,5,5,4,4,6,5,6,5,5,4,3,3,4,4,4,5,4,4,5,6,5,5,5,4,4,6,4,5,6,4,6,6,5
Delaware,4,6,5,2,3,4,3,4,6,6,5,5,6,6,5,6,9,6,3,9,5,6,6,3,7,7,5,6,4,7,3,4,5,5,6,7,5,7,5,7,6,5,5,3,5,6,4,5,4,6,4,5
District of Columbia,44,52,59,37,27,49,48,64,55,58,58,54,51,45,47,55,63,51,56,56,69,54,61,68,64,50,63,52,64,49,41,42,51,46,57,52,59,57,39,46,53,59,40,49,53,56,45,52,59,55,60,54
Florida,2,3,4,2,2,3,3,4,4,4,3,3,3,3,3,3,4,3,3,4,4,4,4,4,3,4,4,4,4,4,3,3,3,3,4,4,3,4,3,3,4,3,3,3,3,3,3,4,4,4,3,4
Georgia,2,4,4,3,2,3,3,4,4,4,3,3,3,3,3,4,4,4,3,4,3,5,5,4,4,4,4,5,4,4,2,3,3,4,4,5,4,4,4,4,5,4,3,4,3,4,4,4,4,4,4,5
Hawaii,4,5,5,3,3,3,5,5,5,5,4,4,5,3,6,5,4,5,6,7,5,6,7,6,4,5,5,7,5,6,4,6,5,5,7,6,4,7,4,5,7,6,4,4,3,3,5,5,4,5,8,4
Idaho,12,13,13,13,15,12,14,15,14,15,12,13,13,15,14,13,15,13,12,12,15,12,12,13,13,13,15,16,14,15,12,12,10,13,15,13,15,12,12,13,15,13,14,14,15,18,16,14,14,15,13,12
Illinois,3,4,4,3,2,4,4,6,5,5,4,5,4,4,4,5,5,5,4,5,5,5,5,4,5,5,5,6,5,5,3,4,4,4,5,5,5,4,4,5,5,5,4,4,5,5,5,5,4,6,5,5
Indiana,4,5,5,4,3,5,5,6,5,7,5,6,4,5,4,6,6,5,6,6,5,6,6,6,5,6,6,6,6,5,4,5,5,4,7,6,6,5,5,5,7,5,5,4,5,6,6,6,6,7,7,6
Iowa,3,4,4,3,2,4,4,7,5,6,5,4,5,5,4,8,7,5,5,7,4,5,5,8,5,5,6,5,6,6,4,5,5,5,5,5,5,5,5,4,6,5,3,5,5,5,5,6,5,6,4,5
Kansas,2,3,3,3,2,4,4,4,4,3,4,4,4,4,3,4,4,3,3,5,4,3,6,5,4,4,4,5,4,5,3,3,5,5,4,3,3,4,3,4,4,5,3,3,5,3,4,5,4,5,3,2
Kentucky,3,4,5,3,2,3,4,4,4,3,4,4,4,3,4,4,4,4,5,5,4,3,3,5,4,5,4,6,4,5,3,4,3,4,4,5,4,4,3,4,4,4,3,3,4,4,5,4,4,5,4,4
Louisiana,2,4,3,3,2,3,3,4,5,4,3,4,4,3,3,4,3,3,4,3,4,4,5,4,3,4,3,4,4,3,3,3,3,3,4,4,3,3,4,3,4,3,3,3,4,4,3,3,4,3,3,4
Maine,3,6,6,4,3,4,7,5,9,6,6,4,6,5,5,8,8,5,4,3,8,5,2,7,8,8,4,5,5,6,4,5,6,5,8,5,4,4,6,4,5,6,3,4,4,5,6,4,5,7,6,6
Maryland,11,16,16,11,8,14,15,17,16,16,16,14,14,14,14,15,17,14,14,17,18,16,18,18,16,16,17,16,17,15,10,12,13,13,16,17,17,15,13,14,15,15,13,14,14,13,15,15,16,17,14,13
Massachusetts,3,5,4,3,3,5,4,5,5,6,5,6,6,4,5,5,5,4,4,5,5,5,6,5,5,6,5,7,6,6,4,4,4,5,5,5,5,4,5,5,5,5,4,5,5,5,5,6,5,5,5,5
Michigan,3,4,4,2,2,3,3,4,4,4,4,4,4,4,3,4,4,3,3,3,4,4,4,4,3,4,4,4,4,4,3,3,3,3,3,4,4,4,3,4,4,4,3,4,3,3,4,4,3,4,4,4
Minnesota,4,4,4,4,3,4,5,5,5,5,4,5,5,6,4,5,5,5,5,5,6,4,4,6,5,6,4,5,5,5,3,4,4,5,5,5,5,5,4,5,4,5,4,4,4,5,6,4,6,4,4,4
Mississippi,2,4,4,3,1,2,4,5,2,4,3,4,4,3,3,6,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,3,3,3,2,3,4,4,2,2,3,4
Missouri,5,5,5,4,3,5,5,6,7,6,6,5,5,6,5,7,6,6,6,7,8,6,6,6,6,7,8,7,6,7,4,5,6,6,7,6,5,5,6,6,6,7,6,5,6,7,6,7,7,7,5,7
Montana,7,9,7,9,8,9,9,6,9,9,6,6,8,8,5,9,8,6,11,11,7,8,6,8,6,10,10,12,7,5,5,6,10,6,8,10,13,6,7,9,11,9,7,8,8,9,8,6,7,10,6,9
Nebraska,2,3,2,3,3,3,3,3,4,5,5,4,5,4,4,4,7,4,4,3,4,5,6,4,3,5,5,5,5,5,4,3,3,3,5,3,4,5,3,4,5,4,3,3,2,4,4,3,4,4,4,3
Nevada,2,4,4,4,3,3,3,5,4,4,5,4,3,4,4,5,4,4,3,6,5,5,6,5,5,6,4,6,4,4,3,4,4,5,5,5,6,4,4,6,6,7,3,3,5,5,5,5,5,6,4,6
New Hampshire,3,4,5,4,3,5,4,6,7,6,5,4,4,4,2,4,4,5,6,5,6,5,4,8,5,4,6,5,5,4,5,4,3,4,5,4,5,4,4,4,4,4,3,4,5,5,6,5,4,4,5,5
New Jersey,3,4,4,3,2,4,4,6,5,5,5,5,4,5,4,6,6,5,5,5,5,5,6,7,5,5,6,6,5,5,4,4,5,4,6,5,5,5,5,6,5,5,4,5,5,5,5,5,5,6,5,5
New Mexico,3,4,3,3,2,4,4,5,5,7,6,3,4,4,4,4,7,4,4,4,6,6,5,4,4,7,5,4,6,5,3,4,5,4,5,6,5,5,4,4,4,4,5,4,4,4,4,5,4,4,4,3
New York,3,4,3,3,2,4,4,5,5,5,4,4,4,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,4,5,5,4,5,4,4,4,5,4,4,4,5,5,5,5,5,5,5
North Carolina,3,5,4,3,3,4,5,6,5,6,4,5,4,5,4,4,6,4,4,5,6,5,7,5,4,5,5,5,6,5,4,4,4,4,5,5,6,5,4,5,5,5,4,5,4,5,5,5,4,6,5,4
North Dakota,3,3,3,2,3,3,4,4,6,5,0,3,4,4,3,3,2,2,4,3,5,5,7,6,4,2,6,5,6,4,3,4,2,2,6,4,4,6,4,3,4,3,2,5,4,4,5,4,4,3,8,6
Ohio,3,3,4,3,2,3,4,5,5,4,4,4,4,4,4,5,4,4,5,4,5,5,4,5,5,4,5,5,4,5,3,3,4,4,4,4,5,4,4,4,5,5,3,4,4,4,5,4,5,5,4,4
Oklahoma,3,2,4,3,2,3,3,3,4,4,3,3,3,3,3,3,3,3,4,4,4,3,6,5,4,4,4,4,5,3,3,3,3,3,4,3,3,3,3,3,4,3,3,4,3,4,4,3,3,4,4,3
Oregon,15,19,16,15,13,17,19,19,19,18,17,17,18,17,14,16,17,17,18,15,16,16,15,18,15,18,17,17,17,15,13,14,15,15,17,18,16,16,14,16,16,18,14,18,17,18,19,19,19,22,21,17
Pennsylvania,5,6,5,5,3,5,6,7,7,7,7,6,6,6,5,7,7,6,7,6,7,7,8,6,6,7,7,8,7,7,5,5,6,6,7,7,7,7,6,7,7,6,6,6,8,7,7,7,7,8,7,6
Rhode Island,4,7,5,4,4,6,4,6,7,6,4,6,6,6,6,7,4,5,9,7,8,8,9,7,8,5,9,8,7,6,5,6,4,4,6,7,7,6,6,4,5,6,5,6,7,7,6,6,6,7,6,5
South Carolina,2,3,4,2,2,3,3,4,5,4,3,4,4,3,3,3,4,3,3,3,4,4,4,4,3,4,4,4,3,3,3,2,3,3,4,4,5,4,3,4,4,4,3,4,4,3,4,4,4,3,4,5
South Dakota,1,3,5,3,2,2,2,5,4,5,4,5,4,4,2,4,3,5,4,3,6,3,3,6,4,10,5,6,4,5,2,5,2,2,5,4,4,5,3,5,5,6,3,3,6,3,4,4,3,4,3,3
Tennessee,3,4,3,3,2,4,4,5,4,3,3,4,4,4,4,4,6,3,4,4,4,4,4,5,4,4,4,5,5,4,2,3,3,3,4,4,4,4,4,3,4,3,4,3,3,4,3,4,4,4,4,4
Texas,2,3,3,2,2,3,3,3,3,4,3,3,2,3,3,3,4,3,3,3,4,3,3,3,3,3,4,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3
