geoName,covid
Alabama,61
Alaska,72
Arizona,60
Arkansas,68
California,61
Colorado,74
Connecticut,65
Delaware,63
District of Columbia,83
Florida,58
Georgia,57
Hawaii,78
Idaho,73
Illinois,70
Indiana,62
Iowa,83
Kansas,61
Kentucky,64
Louisiana,55
Maine,74
Maryland,62
Massachusetts,68
Michigan,79
Minnesota,92
Mississippi,52
Missouri,70
Montana,100
Nebraska,82
Nevada,57
New Hampshire,80
New Jersey,65
New Mexico,73
New York,57
North Carolina,57
North Dakota,59
Ohio,58
Oklahoma,73
Oregon,70
Pennsylvania,66
Rhode Island,71
South Carolina,54
South Dakota,100
Tennessee,64
Texas,57
Utah,75
Vermont,81
Virginia,64
Washington,72
West Virginia,82
Wisconsin,75
Wyoming,93
