geoName,2020-3-20,2020-3-21,2020-3-22,2020-3-23,2020-3-24,2020-3-25,2020-3-26,2020-3-27,2020-3-28,2020-3-29,2020-3-30,2020-3-31,2020-4-1,2020-4-2,2020-4-3,2020-4-4,2020-4-5,2020-4-6,2020-4-7,2020-4-8,2020-4-9,2020-4-10,2020-4-11,2020-4-12,2020-4-13,2020-4-14,2020-4-15,2020-4-16,2020-4-17,2020-4-18,2020-4-19,2020-4-20,2020-4-21,2020-4-22,2020-4-23,2020-4-24,2020-4-25,2020-4-26,2020-4-27,2020-4-28,2020-4-29,2020-4-30,2020-5-1,2020-5-2,2020-5-3,2020-5-4,2020-5-5,2020-5-6,2020-5-7,2020-5-8,2020-5-9,2020-5-10
Alabama,6,5,7,6,5,4,5,6,5,5,5,5,4,5,6,5,5,4,5,4,5,4,6,4,6,4,5,6,4,5,6,5,5,4,4,5,4,6,5,5,4,5,5,6,5,4,6,5,6,5,6,7
Alaska,11,7,10,8,5,12,10,9,8,12,9,9,10,11,7,12,4,10,7,10,9,4,9,11,8,10,8,8,7,11,10,9,5,9,9,3,8,10,8,11,15,11,8,12,13,10,13,10,6,12,12,13
Arizona,24,19,19,16,15,14,17,14,15,14,15,16,12,13,13,13,16,12,15,14,15,14,16,17,16,14,13,14,15,15,15,16,14,14,16,15,14,15,17,16,17,15,14,16,16,15,14,15,16,15,16,19
Arkansas,7,7,7,5,6,5,6,6,7,5,4,7,6,5,7,5,5,6,6,5,5,8,5,6,5,8,8,4,7,5,7,7,4,5,7,4,6,7,4,6,6,5,6,6,5,5,4,6,6,4,4,7
California,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Colorado,19,13,12,10,9,10,9,9,9,10,9,7,7,8,9,7,8,7,9,9,7,9,9,10,8,10,10,9,9,9,11,9,10,9,10,9,10,11,10,10,9,9,9,9,11,10,9,10,11,9,10,10
Connecticut,10,6,5,6,6,5,6,5,7,5,7,6,7,5,7,5,6,6,5,5,6,7,6,7,6,7,7,8,7,6,7,5,6,5,6,4,5,7,6,5,8,7,6,6,7,6,6,7,6,5,7,8
Delaware,8,5,9,2,5,5,5,4,3,8,4,5,5,6,10,7,6,5,5,6,5,4,4,12,8,3,7,6,5,4,7,7,8,5,5,7,6,6,4,4,5,5,9,6,6,7,5,9,7,7,8,10
District of Columbia,14,14,7,10,12,8,10,8,11,6,17,9,8,9,12,7,9,11,11,10,10,13,9,14,13,12,13,9,10,8,9,14,13,12,10,13,8,6,9,11,18,7,8,10,8,9,10,10,13,11,9,18
Florida,10,7,7,6,6,6,6,6,6,6,6,6,5,5,6,5,6,6,6,6,7,6,6,7,6,6,6,6,6,7,7,6,6,6,6,7,6,7,7,6,6,6,6,7,7,6,7,6,7,5,7,7
Georgia,8,7,6,6,6,7,7,5,5,5,5,6,5,6,6,6,6,6,5,6,7,7,6,8,5,6,5,6,6,6,6,6,7,5,5,6,5,6,6,6,7,6,5,6,7,6,5,6,6,6,6,6
Hawaii,14,15,17,11,13,13,13,10,14,16,17,16,13,14,13,11,11,14,16,15,15,9,16,24,13,12,11,13,17,19,15,11,15,14,13,17,18,14,14,14,15,14,17,10,15,15,10,14,20,16,12,16
Idaho,16,14,12,13,9,11,8,13,16,10,14,11,12,11,13,12,11,14,13,14,14,11,14,13,12,17,12,14,10,13,15,14,9,10,15,12,12,13,12,8,14,12,10,16,11,11,12,11,10,9,18,17
Illinois,12,6,7,8,8,8,8,8,7,8,8,7,7,6,7,8,7,8,9,7,7,8,8,8,9,7,7,7,6,6,7,8,7,7,8,8,7,8,8,7,7,8,8,8,8,7,7,8,8,7,8,10
Indiana,9,6,7,5,5,6,4,6,6,5,5,6,5,5,7,4,5,6,7,6,6,8,5,7,5,5,5,7,6,6,6,6,5,5,7,6,6,6,6,6,5,6,5,7,6,5,7,6,6,5,6,7
Iowa,11,6,7,6,4,6,4,7,5,6,4,6,5,5,7,7,6,5,5,6,6,6,6,5,8,4,8,6,5,7,5,7,7,3,6,4,4,5,5,6,6,6,5,7,6,7,6,6,5,5,6,7
Kansas,13,10,8,6,8,7,6,7,6,4,5,7,6,6,7,6,7,6,5,7,6,4,6,7,7,4,7,8,7,9,7,8,5,7,7,6,9,8,6,7,7,6,8,6,7,7,6,9,8,6,7,7
Kentucky,8,6,7,4,5,5,3,5,6,3,6,6,4,4,4,4,5,5,5,5,5,3,5,8,6,5,4,4,5,6,4,6,3,4,5,4,5,5,5,5,7,6,5,5,7,4,5,6,5,5,6,5
Louisiana,8,5,6,5,6,6,5,6,6,6,5,4,5,6,5,6,5,5,6,5,4,4,6,8,5,5,6,4,4,5,6,6,6,4,6,5,5,5,5,6,6,4,5,4,8,6,6,5,7,4,6,7
Maine,8,7,5,5,7,8,4,5,9,7,7,3,6,5,4,10,5,6,2,5,5,5,2,5,5,7,6,5,4,6,7,3,5,5,5,6,6,10,6,7,6,6,5,6,8,6,7,4,5,7,5,7
Maryland,10,9,7,5,6,8,7,7,7,6,6,7,6,6,7,6,7,8,7,6,7,6,7,8,7,7,7,8,7,8,9,8,7,7,7,7,6,8,6,8,7,6,8,8,8,6,8,7,6,6,6,7
Massachusetts,12,7,7,6,5,6,6,5,6,6,7,5,5,6,6,5,6,6,6,6,7,7,7,8,7,6,6,7,5,7,7,7,6,6,6,7,6,6,6,8,7,6,6,8,7,6,5,7,7,5,7,6
Michigan,12,9,9,8,7,7,6,5,6,6,7,6,6,6,7,6,7,6,7,6,6,7,6,7,7,6,5,7,6,6,7,6,6,6,6,5,6,7,7,6,7,6,5,7,7,6,5,6,7,6,6,7
Minnesota,14,9,9,8,6,7,7,6,6,7,6,4,5,5,7,6,6,5,6,6,7,6,7,7,8,6,6,6,7,6,5,6,6,5,6,5,7,6,6,5,8,5,6,6,6,6,6,7,6,6,6,7
Mississippi,7,5,5,6,6,4,4,6,4,4,5,5,4,4,6,8,5,4,6,5,4,4,5,5,5,5,4,4,6,3,8,4,3,5,4,5,4,6,6,5,6,4,5,6,7,3,3,4,4,4,6,9
Missouri,11,7,7,6,6,6,8,6,5,6,6,6,6,6,6,7,6,5,7,6,8,7,8,8,6,7,7,7,8,5,5,9,7,5,7,7,6,6,5,7,8,7,7,8,6,7,7,8,8,7,7,8
Montana,12,10,14,8,14,6,8,6,12,9,9,9,5,8,7,8,11,8,6,9,8,11,13,7,10,8,7,6,10,11,7,10,6,9,6,8,6,9,9,7,10,7,8,8,9,10,6,4,11,5,8,9
Nebraska,11,8,8,7,7,6,5,6,4,6,7,6,5,5,6,6,9,6,6,9,7,6,11,6,6,5,8,5,7,3,10,7,7,6,8,5,6,8,6,7,9,7,5,5,6,6,7,7,7,6,8,6
Nevada,29,26,20,21,23,20,20,23,21,23,21,18,20,20,24,17,24,18,21,22,23,21,23,21,25,21,23,23,19,25,22,20,25,23,22,17,22,26,23,22,26,25,20,27,26,24,21,26,25,23,28,21
New Hampshire,10,6,8,6,6,7,4,4,4,7,5,6,5,4,6,5,6,7,5,4,5,7,6,5,6,3,7,3,7,6,6,6,5,7,6,4,6,7,8,6,7,6,7,8,7,7,6,6,8,6,5,6
New Jersey,8,7,6,6,6,6,6,7,6,6,5,5,4,6,6,5,5,6,6,6,6,6,7,6,6,7,6,5,7,7,6,7,7,6,6,6,7,6,7,5,6,6,7,6,6,6,6,7,5,7,6,7
New Mexico,14,12,12,10,9,10,11,12,11,10,8,7,7,8,8,9,15,7,10,9,8,9,6,8,11,10,10,10,8,12,12,11,11,6,8,8,11,10,7,10,7,11,11,11,10,10,10,9,12,7,10,11
New York,8,6,6,5,5,6,6,7,5,6,5,6,5,7,6,6,6,6,7,7,6,7,7,9,7,6,7,6,7,7,6,6,6,6,7,7,6,7,6,6,7,6,7,8,8,7,7,6,6,7,7,9
North Carolina,9,7,7,5,5,4,5,6,5,5,5,5,5,5,6,4,6,5,5,5,5,5,6,7,5,5,5,5,6,5,6,5,5,4,4,6,6,6,5,6,5,6,6,6,6,5,5,5,6,4,5,6
North Dakota,9,4,7,8,8,3,6,6,5,7,4,4,6,2,6,5,5,7,6,8,9,6,5,9,9,7,8,5,5,8,6,5,6,5,7,10,9,7,6,6,6,4,5,8,9,6,6,6,10,9,8,7
Ohio,10,7,8,5,6,6,6,6,6,4,6,6,5,5,5,4,6,5,6,6,5,7,6,6,6,6,6,6,6,6,7,6,6,4,7,6,6,7,6,5,7,6,6,6,6,5,5,6,5,6,7,7
Oklahoma,11,6,9,9,4,7,7,6,5,7,6,6,6,5,6,5,6,6,7,6,5,7,7,7,7,7,7,7,8,6,7,6,7,5,8,7,6,8,5,5,8,8,6,7,9,5,7,7,6,5,5,7
Oregon,29,22,18,16,14,14,15,15,14,15,13,14,11,13,15,12,17,14,14,15,16,17,18,15,15,16,16,16,16,16,14,13,14,15,11,14,15,16,14,15,14,14,16,17,15,15,13,14,13,15,17,16
Pennsylvania,7,6,6,5,5,5,5,5,6,5,5,5,4,5,5,4,6,5,6,5,6,6,6,5,6,5,5,6,5,5,6,6,5,5,6,6,6,6,6,5,6,5,6,7,7,5,6,5,6,5,6,7
Rhode Island,10,9,9,7,6,6,7,8,12,6,6,6,3,6,9,5,8,7,10,6,6,8,8,14,10,7,7,6,10,7,8,6,8,5,7,6,5,11,7,7,6,6,9,9,5,5,11,6,9,7,8,8
South Carolina,8,5,5,4,5,6,6,5,6,6,5,5,5,5,6,5,6,6,4,6,6,6,5,6,5,5,6,5,5,5,6,6,4,5,5,6,5,6,5,5,5,6,5,6,5,5,5,6,5,6,6,7
South Dakota,9,5,9,7,6,6,3,4,10,5,9,5,7,7,4,4,4,6,10,6,5,5,6,5,9,4,5,4,5,10,10,6,7,6,6,4,11,11,5,3,3,8,5,6,7,3,4,5,7,5,7,5
Tennessee,9,6,6,5,6,6,5,7,6,5,4,5,5,6,5,5,6,6,6,5,6,5,7,6,4,6,6,6,7,7,7,6,6,5,6,5,5,5,5,7,6,6,5,7,6,5,5,6,6,4,6,6
Texas,11,8,7,6,6,7,7,6,7,6,6,6,5,6,6,6,7,6,6,7,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,7,7,7,7,7,7,7,7,7,6,7,8
Utah,18,14,13,12,13,13,12,10,13,10,11,10,11,11,10,13,9,12,12,11,12,13,13,11,10,12,12,14,13,13,12,12,13,11,12,12,9,15,12,12,13,12,10,11,13,12,13,11,12,13,13,15
Vermont,9,5,7,7,8,6,4,5,5,4,4,5,7,4,5,3,8,9,8,5,4,7,9,13,7,4,7,4,8,6,9,6,6,6,9,4,9,10,5,7,5,8,3,14,8,5,7,5,5,5,9,7
Virginia,9,7,7,6,6,7,7,7,6,5,7,6,6,7,6,5,7,6,7,6,7,7,7,8,6,7,6,6,6,7,7,6,7,6,8,7,6,7,5,6,7,6,6,6,8,6,7,7,7,6,8,7
Washington,23,14,12,11,12,9,10,10,9,9,9,10,9,9,9,9,9,10,10,9,11,10,11,10,11,10,11,11,9,11,11,11,11,10,10,11,10,11,9,9,11,10,12,13,12,10,10,11,10,10,11,11
West Virginia,5,7,4,4,5,4,5,6,7,4,4,5,3,4,3,6,4,6,4,4,5,4,4,7,5,5,4,6,6,6,5,4,5,5,4,6,6,5,5,5,3,7,4,8,3,5,2,4,5,6,5,5
Wisconsin,12,6,7,6,5,5,5,7,4,5,6,5,4,5,5,5,5,4,5,5,6,5,8,8,5,6,6,6,5,5,6,5,6,5,6,6,5,5,6,6,6,6,5,7,5,6,5,7,6,6,5,6
Wyoming,7,10,15,9,11,7,4,13,10,10,9,5,6,10,9,5,14,6,11,6,11,8,9,15,7,10,12,12,7,11,11,7,8,6,12,5,7,13,6,12,8,10,10,10,8,10,8,6,4,4,10,9
