geoName,2020-3-20,2020-3-21,2020-3-22,2020-3-23,2020-3-24,2020-3-25,2020-3-26,2020-3-27,2020-3-28,2020-3-29,2020-3-30,2020-3-31,2020-4-1,2020-4-2,2020-4-3,2020-4-4,2020-4-5,2020-4-6,2020-4-7,2020-4-8,2020-4-9,2020-4-10,2020-4-11,2020-4-12,2020-4-13,2020-4-14,2020-4-15,2020-4-16,2020-4-17,2020-4-18,2020-4-19,2020-4-20,2020-4-21,2020-4-22,2020-4-23,2020-4-24,2020-4-25,2020-4-26,2020-4-27,2020-4-28,2020-4-29,2020-4-30,2020-5-1,2020-5-2,2020-5-3,2020-5-4,2020-5-5,2020-5-6,2020-5-7,2020-5-8,2020-5-9,2020-5-10
Alabama,0,0,0,0,18,11,13,0,0,0,8,0,19,0,0,0,0,0,0,9,0,0,0,0,5,0,15,0,0,0,0,0,0,11,0,23,0,0,0,0,0,0,0,0,0,24,12,0,0,0,0,11
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,57,0,0,0
Arizona,0,0,13,0,16,0,7,6,0,0,4,0,10,0,10,0,0,0,11,5,7,8,9,0,3,0,9,0,0,6,13,0,0,7,0,0,8,0,0,0,0,0,7,12,13,14,0,28,5,0,0,0
Arkansas,0,0,0,0,0,0,23,0,0,0,0,0,0,25,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,21,43,0,0,0,20
California,3,2,1,3,3,2,2,2,4,3,1,2,2,2,2,2,2,2,3,1,3,3,0,2,1,1,3,2,1,1,2,1,4,2,1,4,1,1,3,2,1,3,2,4,3,2,1,6,1,0,2,1
Colorado,0,0,15,11,0,0,8,6,0,0,5,8,12,9,0,0,0,8,0,0,0,0,0,14,0,5,10,0,6,0,14,0,0,0,9,0,0,0,9,0,0,10,0,0,0,15,12,0,5,0,0,8
Connecticut,0,0,0,16,0,0,24,10,0,14,13,11,17,0,0,0,21,11,18,0,0,14,0,22,0,0,0,0,0,10,0,0,15,11,0,22,0,0,0,0,0,0,0,0,0,0,12,23,0,0,0,11
Delaware,0,92,0,0,0,0,0,0,0,0,32,52,0,0,0,0,0,100,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District of Columbia,100,100,52,100,71,100,100,100,100,100,100,100,100,100,100,100,100,46,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96,100,100,100,57,100,100,66,100,100,100,100,100,100,100,100,100,52
Florida,5,4,3,5,7,2,5,2,0,5,3,2,6,3,3,2,0,3,5,2,3,5,3,4,1,1,3,6,2,2,4,0,3,2,5,6,2,2,2,3,4,4,3,4,4,4,0,7,2,4,0,2
Georgia,8,0,0,6,6,4,4,3,0,5,5,0,6,5,6,4,15,4,6,3,4,0,6,8,2,3,7,5,3,0,0,0,6,0,5,9,0,4,10,6,8,5,4,0,23,8,0,8,4,8,0,4
Hawaii,0,0,0,0,0,0,0,33,0,0,0,0,58,0,0,0,0,0,57,30,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0
