geoName,2020-3-20,2020-3-21,2020-3-22,2020-3-23,2020-3-24,2020-3-25,2020-3-26,2020-3-27,2020-3-28,2020-3-29,2020-3-30,2020-3-31,2020-4-1,2020-4-2,2020-4-3,2020-4-4,2020-4-5,2020-4-6,2020-4-7,2020-4-8,2020-4-9,2020-4-10,2020-4-11,2020-4-12,2020-4-13,2020-4-14,2020-4-15,2020-4-16,2020-4-17,2020-4-18,2020-4-19,2020-4-20,2020-4-21,2020-4-22,2020-4-23,2020-4-24,2020-4-25,2020-4-26,2020-4-27,2020-4-28,2020-4-29,2020-4-30,2020-5-1,2020-5-2,2020-5-3,2020-5-4,2020-5-5,2020-5-6,2020-5-7,2020-5-8,2020-5-9,2020-5-10
Alabama,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1
Alaska,0,0,3,0,0,3,0,2,0,0,3,3,0,0,0,0,0,3,3,0,0,3,4,4,3,0,0,6,0,0,0,0,0,6,3,0,0,0,3,4,0,0,3,0,0,3,0,0,0,0,0,0
Arizona,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1
Arkansas,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,2,1,0,0,0,0,2,0,1,1,1,0,2,2,0,0,0,0,1,0,0,1,1,0,2,1,0,1,1,1,2,0,1,1,0
California,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorado,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0
Connecticut,2,3,2,2,2,2,2,1,2,3,2,3,3,3,2,2,3,3,4,4,3,2,3,3,4,2,3,2,2,2,3,3,3,3,3,2,4,1,3,4,3,3,3,2,4,3,3,3,4,4,4,3
Delaware,1,2,3,2,2,2,1,1,0,2,0,2,0,2,0,2,2,2,4,0,4,2,2,0,2,0,2,0,3,2,0,2,0,0,4,0,0,2,0,0,2,3,2,2,2,2,0,0,2,2,0,0
District of Columbia,3,3,2,1,2,1,2,3,2,4,3,2,4,3,3,0,2,3,0,3,2,4,3,3,6,4,3,2,2,0,2,2,4,3,2,2,0,0,0,2,3,3,3,2,2,3,1,3,3,3,5,2
Florida,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0
Georgia,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hawaii,2,1,0,0,0,1,0,1,1,0,1,1,1,2,0,0,2,0,0,0,0,1,0,6,0,1,0,1,3,1,2,1,0,1,2,0,2,1,3,0,0,0,1,1,1,0,0,3,1,1,2,2
Idaho,0,1,1,0,2,1,1,1,1,0,0,0,1,0,1,3,1,1,0,1,1,0,3,2,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,2,1,0
Illinois,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Indiana,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0
Iowa,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,0,1,1,1,0,0
Kansas,0,1,2,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,2,1,1,1,0,1,3,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0
Kentucky,2,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
Louisiana,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,2,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1
Maine,11,8,10,11,9,14,14,15,13,13,6,10,10,14,7,9,12,15,10,9,6,13,13,11,14,11,14,10,11,9,8,16,13,12,12,12,16,12,15,18,13,10,12,14,10,13,11,19,19,15,12,15
Maryland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Massachusetts,6,9,8,6,9,8,7,8,8,7,7,7,8,8,6,6,7,8,7,7,8,7,9,8,8,7,6,10,8,8,10,7,8,8,7,7,11,8,6,11,7,9,11,11,8,8,8,9,10,10,10,9
Michigan,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1
Minnesota,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0
Mississippi,1,2,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,2,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,2,0,0,1,0,1,0,0,1,0,0,1,1
