geoName,2020-3-20,2020-3-21,2020-3-22,2020-3-23,2020-3-24,2020-3-25,2020-3-26,2020-3-27,2020-3-28,2020-3-29,2020-3-30,2020-3-31,2020-4-1,2020-4-2,2020-4-3,2020-4-4,2020-4-5,2020-4-6,2020-4-7,2020-4-8,2020-4-9,2020-4-10,2020-4-11,2020-4-12,2020-4-13,2020-4-14,2020-4-15,2020-4-16,2020-4-17,2020-4-18,2020-4-19,2020-4-20,2020-4-21,2020-4-22,2020-4-23,2020-4-24,2020-4-25,2020-4-26,2020-4-27,2020-4-28,2020-4-29,2020-4-30,2020-5-1,2020-5-2,2020-5-3,2020-5-4,2020-5-5,2020-5-6,2020-5-7,2020-5-8,2020-5-9,2020-5-10
Alabama,1,3,1,1,1,2,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,1,1,3,1,1,2,1,1,3,2,3,2,1,2,4,2,2,1,2,1,1,3,1,2,1,2,1,3,3
Alaska,4,0,0,3,0,4,0,8,0,5,4,4,0,6,0,5,5,9,0,5,5,11,0,0,0,5,5,10,9,6,6,4,8,6,0,6,8,11,11,0,0,5,4,0,0,5,0,0,0,4,0,9
Arizona,2,2,1,1,1,2,2,2,1,2,2,1,1,2,2,1,1,2,1,2,2,2,3,1,2,2,3,2,3,2,1,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,4,3,1,2,2,3
Arkansas,2,2,1,1,2,3,2,2,2,2,1,2,1,1,3,3,3,3,3,1,1,2,2,2,1,1,3,2,1,2,2,4,3,2,3,1,3,2,2,2,2,0,2,2,3,1,3,1,1,1,3,6
California,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,2,2,2,1,2,2
Colorado,2,2,2,1,2,1,2,2,1,2,2,3,2,3,2,2,2,4,2,3,2,3,3,2,1,3,2,2,2,2,2,2,2,1,2,2,3,2,1,3,2,3,1,3,1,3,2,2,3,2,1,3
Connecticut,5,2,2,2,2,2,3,3,4,2,2,3,3,3,3,3,3,2,2,4,3,3,4,2,3,4,3,3,4,4,2,3,5,3,4,3,2,5,4,5,3,2,3,3,2,4,6,3,5,5,5,5
Delaware,25,21,21,16,17,19,19,11,14,13,18,15,17,20,20,19,14,13,15,15,10,18,13,15,14,21,26,24,17,12,19,17,20,21,12,24,20,22,19,13,18,26,15,23,23,19,18,28,19,25,17,25
District of Columbia,10,7,8,4,6,7,10,10,13,8,7,9,5,6,10,10,10,6,6,12,9,13,10,13,10,18,10,10,10,11,8,12,17,9,6,12,8,9,10,10,16,15,7,10,13,11,12,13,15,10,7,8
Florida,3,3,2,2,2,2,2,2,2,2,3,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,4,4,3,3,3,4,3,3,2,3,3,3,4,4,3,4,3
Georgia,2,1,2,1,2,2,2,2,2,2,1,2,2,1,2,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,3,2,2,2,3,2,2,3,2,3,1,1,2,2,3,2,2,2,2,2
Hawaii,2,2,5,3,2,3,2,3,2,2,2,3,2,2,2,3,2,2,3,2,2,0,0,9,3,0,2,4,3,3,4,4,2,4,2,0,0,5,2,5,3,6,4,4,6,5,3,4,4,0,4,0
Idaho,1,2,3,2,1,2,2,2,3,3,1,2,3,4,2,2,4,3,0,3,4,2,4,5,6,3,4,2,3,0,2,2,4,6,2,4,0,3,3,2,5,3,2,3,0,4,2,3,6,2,5,3
Illinois,3,2,2,1,2,1,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,3,2,3,3,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2
Indiana,4,3,1,2,2,3,2,2,2,2,2,2,3,2,2,2,2,3,3,2,3,2,2,3,3,2,4,2,2,3,2,2,2,5,3,3,4,3,4,3,4,3,3,3,2,2,3,2,2,3,2,3
Iowa,3,2,1,2,1,1,1,1,2,2,1,2,2,2,2,2,2,1,3,4,1,3,2,4,2,2,3,2,1,2,2,2,3,3,2,4,2,1,2,3,2,2,2,2,2,3,3,2,2,3,2,4
Kansas,2,2,1,2,2,2,4,4,4,4,0,4,1,3,3,3,3,2,2,2,2,2,3,3,2,2,4,2,3,1,3,3,3,2,5,2,5,2,2,2,3,2,3,1,2,3,4,2,3,2,4,3
Kentucky,3,2,2,1,2,2,2,2,3,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2,2,3,3,3,2,2,2,2,1,3,2,3,2,2,2,4,1,3,2,3,2,3
Louisiana,2,2,2,1,1,2,2,2,1,2,1,1,2,2,2,2,1,1,2,3,2,2,2,2,3,2,2,3,2,3,2,1,2,1,3,2,1,2,1,2,3,2,1,1,2,1,2,2,2,1,3,2
Maine,3,7,3,5,3,3,4,4,4,6,3,4,2,4,2,0,5,3,2,4,3,5,6,5,5,4,9,4,2,3,5,5,0,11,4,0,5,3,6,6,3,4,5,3,6,8,2,4,8,3,6,6
Maryland,13,9,8,7,8,8,7,8,7,9,10,8,8,7,8,9,8,7,9,10,8,8,10,9,10,8,10,8,7,8,8,7,9,9,9,11,9,10,8,9,9,11,9,11,11,9,12,11,7,11,12,12
Massachusetts,4,1,1,2,2,3,3,3,3,3,2,2,2,3,2,1,1,2,2,3,3,3,2,2,4,4,3,3,3,3,2,3,4,3,3,4,2,4,4,2,3,3,2,3,3,4,4,4,3,2,2,3
Michigan,5,3,2,2,1,2,2,3,1,3,2,2,3,2,3,2,2,2,2,3,3,3,3,3,3,3,3,2,2,4,3,2,3,2,3,3,3,4,2,2,3,2,2,2,1,3,4,3,2,2,4,3
Minnesota,3,0,1,1,1,2,2,2,1,1,1,1,2,2,1,1,1,2,2,2,2,2,1,1,2,3,2,1,1,3,1,2,3,1,2,2,2,1,1,3,2,2,1,2,1,1,2,1,2,2,1,1
Mississippi,2,3,3,2,1,2,2,2,3,3,1,3,1,2,3,2,3,3,0,1,1,0,2,2,2,3,1,1,2,2,2,2,2,5,1,2,2,4,2,2,3,3,1,3,4,2,0,3,3,1,2,0
Missouri,2,2,2,1,1,2,1,2,1,1,2,1,2,1,1,3,1,2,2,3,2,2,1,1,3,3,2,1,2,2,2,1,3,3,2,3,2,3,3,2,3,2,2,2,2,2,4,2,2,1,2,2
Montana,4,3,4,3,2,5,3,5,3,3,0,3,2,3,3,4,3,3,6,3,3,6,0,4,3,7,3,0,3,8,0,3,7,5,5,4,0,5,3,3,0,3,0,0,0,0,11,11,0,0,0,5
Nebraska,2,1,2,1,1,2,3,2,0,2,2,2,2,2,1,0,2,1,4,3,3,2,3,4,4,3,2,2,3,4,2,2,2,4,3,4,3,2,2,2,2,4,1,4,2,2,4,0,3,1,2,2
Nevada,2,1,1,1,1,1,1,1,0,2,2,2,1,1,4,3,3,1,2,2,2,3,3,1,1,1,2,1,1,2,1,2,2,2,2,3,2,4,2,1,3,3,2,2,2,1,2,4,3,2,3,2
New Hampshire,5,4,4,2,3,4,3,5,3,4,3,3,2,2,6,0,5,2,2,2,4,3,3,3,4,6,4,2,4,2,5,2,6,4,4,2,8,6,2,5,6,3,2,3,5,4,6,5,2,3,4,5
New Jersey,10,8,7,6,6,6,6,6,7,9,7,7,7,6,7,6,6,9,8,8,10,8,8,9,10,8,7,9,8,7,8,7,9,10,11,11,12,10,7,10,9,9,8,11,10,9,9,11,10,8,10,12
